blocklist_id,exchange,source_app_id,applies_to,blocklist_created_at_date,blocklist_expires_at_date,blocklist_origin,blocklist_reason_code,blocklist_comment,is_auto_blocklist,blocklist_creator_email,campaign_id,campaign_group_id,app_id,customer_id,block_level
12394172,VUNGLE,622851626,all,2026-06-05,2026-06-19,internal,traffic-quality,Spend gate source app <> exchange ABL hourly,Yes,,-,None,-,-,global
10097449,All exchanges,591560124,customer,2025-10-23,,client_request,misc,client requested to block Musi,No,nsidore@liftoff.io,76972.0,None,9100.0,3043.0,customer
11712865,All exchanges,6744975195,customer,2026-04-07,,client_request,traffic-quality,client flagged source app | request to block,No,mday@liftoff.io,76973.0,None,9100.0,3043.0,customer
11719876,All exchanges,1478870872,customer,2026-04-09,,client_request,brand,brand safety concerns,No,mday@liftoff.io,76506.0,None,9201.0,3043.0,customer
11719876,All exchanges,357218860,customer,2026-04-09,,client_request,brand,brand safety concerns,No,mday@liftoff.io,77771.0,None,9100.0,3043.0,customer
11780342,All exchanges,1406725978,customer,2026-04-15,,internal,traffic-quality,Kalshi keyword blocklist,Yes,,76975.0,None,9100.0,3043.0,customer
12440436,All exchanges,6445881079,customer,2026-06-10,,internal,brand,proactive block due to brand concerns,No,mday@liftoff.io,75036.0,None,9100.0,3043.0,customer
12440436,All exchanges,6502821354,customer,2026-06-10,,internal,brand,proactive block due to brand concerns,No,mday@liftoff.io,76506.0,None,9201.0,3043.0,customer
10821198,All exchanges,1193154948,app,2026-01-16,,client_request,misc,VPN Block ,No,nsidore@liftoff.io,77429.0,None,9100.0,3043.0,advertiser_app
10821198,All exchanges,1410235921,app,2026-01-16,,client_request,misc,VPN Block ,No,nsidore@liftoff.io,78304.0,None,9100.0,3043.0,advertiser_app
10821198,All exchanges,1503251395,app,2026-01-16,,client_request,misc,VPN Block ,No,nsidore@liftoff.io,76975.0,None,9100.0,3043.0,advertiser_app
10821193,All exchanges,6503184925,app,2026-01-16,,client_request,misc,Religion BL,No,nsidore@liftoff.io,76972.0,None,9100.0,3043.0,advertiser_app
10912566,All exchanges,6751863406,app,2026-01-27,,client_request,misc,VPN+Utility+Passive App Blocks ,No,nsidore@liftoff.io,76973.0,None,9100.0,3043.0,advertiser_app
10912566,All exchanges,1055008110,app,2026-01-27,,client_request,misc,VPN+Utility+Passive App Blocks ,No,nsidore@liftoff.io,78304.0,None,9100.0,3043.0,advertiser_app
10912566,All exchanges,398129933,app,2026-01-27,,client_request,misc,VPN+Utility+Passive App Blocks ,No,nsidore@liftoff.io,48310.0,None,9100.0,3043.0,advertiser_app
10912566,All exchanges,1583884012,app,2026-01-27,,client_request,misc,VPN+Utility+Passive App Blocks ,No,nsidore@liftoff.io,75036.0,None,9100.0,3043.0,advertiser_app
10912566,All exchanges,912390687,app,2026-01-27,,client_request,misc,VPN+Utility+Passive App Blocks ,No,nsidore@liftoff.io,76975.0,None,9100.0,3043.0,advertiser_app
10912566,All exchanges,6444693400,app,2026-01-27,,client_request,misc,VPN+Utility+Passive App Blocks ,No,nsidore@liftoff.io,77771.0,None,9100.0,3043.0,advertiser_app
10912566,All exchanges,1445991661,app,2026-01-27,,client_request,misc,VPN+Utility+Passive App Blocks ,No,nsidore@liftoff.io,76974.0,None,9100.0,3043.0,advertiser_app
10912566,All exchanges,725215120,app,2026-01-27,,client_request,misc,VPN+Utility+Passive App Blocks ,No,nsidore@liftoff.io,78304.0,None,9100.0,3043.0,advertiser_app
10912566,All exchanges,314487667,app,2026-01-27,,client_request,misc,VPN+Utility+Passive App Blocks ,No,nsidore@liftoff.io,76973.0,None,9100.0,3043.0,advertiser_app
