account_id,account_name,app_id,app_name,account_blocked_iab,app_blocked_iab,account_blocked_rtb_accounts,account_blocked_rtb_connections,spend_14d,app_daily_spend,account_daily_spend
68b15a7cc3df44b6b016cb9f,"SHORT DRAMA CO, LIMITED",68b6b11a0e4ccdf0435abc0a,BonusTV,"IAB7-5,IAB25-6,IAB7-41,IAB14-3,IAB25-1,IAB9-9,IAB11,IAB7-3,IAB25-5,IAB7-39,IAB14-8,IAB18-2,IAB7-29,IAB7-42,IAB25-2,IAB7-30,IAB7-28,IAB26,IAB23,IAB14-4,IAB8-18,IAB25-4,IAB14-2,IAB25-3,IAB8-5",,,,43075.115687366146,3076.794,3370.9441
6834f4309886e6001161ae5e,Triumph Arcade,685061759f7ebc7d02758b04,Triumph Arcade,"IAB14-3,IAB7-29,IAB11,IAB7-39,IAB18-2,IAB9-9,IAB25-2,IAB25-1,IAB25-5,IAB25-4,IAB14-4,IAB25-3,IAB7-41,IAB7-3,IAB14-8,IAB25-6,IAB7-42,IAB26,IAB7-30,IAB8-5,IAB14-2,IAB7-28,IAB8-18,IAB23,IAB7-5",,,,29666.73937867092,2119.0528,2119.0528
64ecb0b0006b5a0011e57f9a,"Everyday Health, Inc",65df440fd13c647695f4ed88,Loseit iOS_Liftoff_Nimbus,"IAB14-8,IAB25-4,IAB14-2,IAB25-1,IAB14-3,IAB7-42,IAB25-2,IAB11,IAB7-29,IAB24,IAB15-5,IAB25-6,IAB3-7,IAB23,IAB7-39,IAB25-5,IAB8-18,IAB7-5,IAB4-10,IAB25-3,IAB7-30,IAB18-2,IAB25,IAB7-28,IAB17-18,IAB14,IAB9-9,IAB7-41,IAB7-3,IAB26,IAB14-4",,,,22603.37601785442,1614.5269,1966.4116
69ead3c0a33b05d61de6186b,Meta Innovation Limited,69eae084731c8519ff93da28,StickerHub Android,"IAB25-1,IAB18-2,IAB7-28,IAB7-5,IAB7-30,IAB25-2,IAB8-5,IAB9-9,IAB14-3,IAB14-8,IAB11,IAB25-3,IAB7-41,IAB14-4,IAB25-5,IAB7-39,IAB26,IAB25-4,IAB7-29,IAB23,IAB8-18,IAB7-3,IAB7-42,IAB14-2,IAB25-6",,,,18175.716126405183,1298.2654,1943.9115
6486da2ba6bfa20014cb5d31,Brainmobi Technologies,6486daf5ca87de90227bd02b,Cricket Line Guru,"IAB25-6,IAB8-18,IAB7-30,IAB11,IAB23,IAB7-42,IAB7-28,IAB7-5,IAB14-8,IAB25-1,IAB7-29,IAB26,IAB25-4,IAB14-2,IAB14-4,IAB7-3,IAB25-3,IAB25-5,IAB7-39,IAB14-3,IAB18-2,IAB9-9,IAB7-41,IAB25-2,IAB8-5",,,,18063.594358290316,1290.2567,2208.2719
65d47091444f8f0011416ee7,CloudBirds,65d561f025cdf63cf9a2d059,V360 Pro,"IAB25-5,IAB25-1,IAB7-39,IAB8-18,IAB14-4,IAB7-3,IAB7-41,IAB14-2,IAB7-30,IAB14-8,IAB11,IAB18-2,IAB14-3,IAB9-9,IAB7-29,IAB25-2,IAB7-42,IAB23,IAB26,IAB7-5,IAB25-3,IAB25-6,IAB7-28,IAB25-4,IAB8-5",,,,16012.167649539813,1143.7263,1312.8326
6756d5101e787500114ab99c,Novus Tech Apps PTY LTD,6756d6829d0f2cfb524eed56,Novus Smart Transfer,"IAB7-5,IAB18-2,IAB11,IAB26,IAB23,IAB14-8,IAB7-28,IAB14-3,IAB25-6,IAB7-30,IAB7-29,IAB25-1,IAB8-5,IAB25-3,IAB7-3,IAB25-4,IAB14-4,IAB25-5,IAB7-39,IAB8-18,IAB7-41,IAB7-42,IAB9-9,IAB14-2,IAB25-2",,,,15739.1815730204,1124.2273,1124.2273
681c54531d9e25001144b6b4,深圳市乔安科技有限公司,6822af17a288cde6eec33c39,cam720,"IAB7-27,IAB7-30,IAB25-1,IAB7-6,IAB7-7,IAB7-43,IAB26,IAB7-41,IAB25-6,IAB3-7,IAB7-2,IAB7-39,IAB7-18,IAB17-18,IAB23,IAB7-20,IAB7-28,IAB7-16,IAB9-7,IAB8-18,IAB7-5,IAB7-24,IAB14-4,IAB4-10,IAB18-2,IAB7-23,IAB7-29,IAB7-22,IAB14-3,IAB14-2,IAB7-42,IAB16-7,IAB25-4,IAB25-2,IAB7-19,IAB7-21,IAB7-9,IAB7-15,IAB7-12,IAB11,IAB7-10,IAB7-11,IAB7-8,IAB14-1,IAB25-5,IAB7-44,IAB7-3,IAB8-5,IAB7-35,IAB9-9,IAB14-8,IAB20-24,IAB25-3,IAB7-14,IAB7-33,IAB7-13,IAB7-34",,,,14295.80686286248,1021.1291,1021.1291
62d1322c42406e001be69514,Kooply ZYP,62d1327ec3490026ce022211,Fun Runner,"IAB14-4,IAB7-39,IAB11,IAB7-3,IAB25-3,IAB14-8,IAB25-4,IAB8-5,IAB14-2,IAB7-30,IAB7-28,IAB26,IAB25-1,IAB9-9,IAB23,IAB8-18,IAB14-3,IAB7-41,IAB7-42,IAB7-5,IAB7-29,IAB18-2,IAB25-6,IAB25-5,IAB25-2",,,,14248.919372582488,1017.78,1206.7837
628613f18fd8f10017157a48,apkpure,6286157287862c977f37336a,apkpure1,"IAB7-30,IAB26",,,,14110.38360844666,1007.8845,1011.0026
