market_id,exchange,revenue
1617391485,VUNGLE,7380564.155551371
766443283,VUNGLE,3572122.480033362
com.block.juggle,VUNGLE,2381937.0700726113
468996152,VUNGLE,1873616.609323314
359917414,VUNGLE,1741172.3656525488
570060128,VUNGLE,1521067.9086660265
1617391485,INMOBI,1433922.1510799618
591560124,VUNGLE,1423322.2547284777
6748950306,VUNGLE,1407903.3836380173
com.snaptube.premium,VUNGLE,1403295.4226776073
1617391485,INNERACTIVE_DIRECT,1336954.4960901088
281940292,VERVE,1320573.3943889136
553834731,VUNGLE,1212917.392692381
com.block.juggle,INNERACTIVE_DIRECT,1210937.4907016812
295646461,VUNGLE,1175817.3614110246
com.dywx.larkplayer,VUNGLE,1155545.855915934
com.xiaomi.mipicks,VUNGLE,1138194.5483448938
com.eyecon.global,VUNGLE,1132073.8770900238
382233851,VUNGLE,1119004.3128763798
6468921495,VUNGLE,1113558.7643240073
com.vitastudio.mahjong,VUNGLE,1093717.3664488725
632064380,VUNGLE,1093066.4806753842
319881193,APPODEAL,1047663.4347542749
571801488,VUNGLE,991720.1648594104
305343404,VUNGLE,904424.0415672883
399355755,VUNGLE,885484.3073128542
1598997500,VUNGLE,876776.221422341
1600525061,VUNGLE,876739.9269061474
6468921495,APPODEAL,854190.9164072007
6744975195,VUNGLE,849521.7657209708
1207472156,VUNGLE,827574.3571522336
1196764367,VUNGLE,826087.2095179269
1636235979,VUNGLE,816956.03160582
6504849169,VUNGLE,804593.1190120158
1370293473,VUNGLE,790965.0357621843
1496354836,VUNGLE,790958.9288362778
1617391485,BIGO,750379.33160474
com.metropcs.metrozone,VUNGLE,750378.8919668044
net.zedge.android,VUNGLE,710142.9053444765
Vidmate,VUNGLE,704238.5466854331
1638139403,VUNGLE,689117.0160199787
6449206831,VUNGLE,684874.1799556296
359917414,APPODEAL,675145.4573620518
319881193,VERVE,665934.3851151182
com.newleaf.app.android.victor,VUNGLE,657944.331822856
6468921495,VERVE,648396.4584157157
com.enflick.android.TextNow,VUNGLE,644187.8677969261
319881193,VUNGLE,615013.6283508226
com.duolingo,VUNGLE,608760.1623250787
6464002625,VUNGLE,607173.7323489928
382233851,INMOBI,590214.1426259665
591560124,INMOBI,570347.3370854376
1193508329,VUNGLE,566007.6253382979
1103438575,VUNGLE,559593.4144879899
314716233,NIMBUS,547036.4800919937
569077959,VUNGLE,543316.9725449922
com.eyecon.global,INMOBI,539167.961948969
314716233,VUNGLE,538658.1884990843
com.xiaomi.mipicks,XIAOMI,537449.1511523476
1423046460,VUNGLE,529186.2858709041
1617391485,IRONSOURCE,528173.5995169895
416048305,VUNGLE,521172.6448079395
6743385713,VUNGLE,512149.87598202913
6499209744,VUNGLE,495268.23072400235
6498883328,VUNGLE,490167.2005239213
6449190344,VUNGLE,488543.53043086233
569077959,NIMBUS,486013.37816596916
com.worldance.drama,VUNGLE,468274.24107998953
6747492600,VUNGLE,467534.6511729789
6748397500,VUNGLE,457715.0670170295
1130153523,VUNGLE,454481.15767572646
com.dream11.fantasy.cricket.football.kabaddi,VUNGLE,454089.2969891144
6482849843,VUNGLE,431806.5118339019
com.vitastudio.mahjong,APPODEAL,418508.57479502825
1487882541,VUNGLE,418382.7218250081
395979574,VUNGLE,416644.21670301474
com.intsig.camscanner,VUNGLE,412539.56925819756
6504324020,VUNGLE,412080.9558809167
6751056652,VUNGLE,406475.1783579999
6468921495,INMOBI,402197.5766648478
6740043080,VUNGLE,401029.9129228783
com.oakever.tiletrip,VUNGLE,399679.91166917665
1500855883,VUNGLE,399346.72874067706
305343404,NIMBUS,398631.65628299455
com.enflick.android.TextNow,INMOBI,396087.56315198145
com.samsung.android.game.gamehome,SAMSUNG,391603.53671889164
1462911602,VUNGLE,387946.66451399936
553834731,A9TAM,387037.73187582893
632064380,APPLOVIN,381839.500489244
698255242,APPODEAL,371572.6215010192
com.miui.global.packageinstaller,XIAOMI,364983.57584517496
com.firsttouchgames.dls7,VUNGLE,363139.91444704984
6751056652,APPODEAL,362797.4002280015
com.vitastudio.mahjong,INNERACTIVE_DIRECT,359003.1009728389
1472419762,VUNGLE,348704.66569599835
com.block.juggle,BIGO,348124.27446396387
698255242,VUNGLE,347620.15564688074
351331194,VUNGLE,345062.48744637246
1344700142,VUNGLE,342295.3033989276
com.particlenews.newsbreak,DOUBLECLICK,341181.67931699974
880047117,VUNGLE,340009.0795010116
1671705818,VUNGLE,339708.29304295685
com.freereels.app,VUNGLE,339271.8946781356
1617391485,UNITY,335476.63697727927
1215933788,VUNGLE,335238.2502089629
591560124,APPODEAL,330440.86503641907
506627515,VUNGLE,326542.79367395287
281940292,VUNGLE,323606.70299999614
356928178,VUNGLE,323208.1464457667
com.microsoft.microsoftsolitairecollection,VUNGLE,319437.2791700662
579581125,VUNGLE,319404.86876992485
428312806,VUNGLE,317592.1439519685
1660171117,VUNGLE,316269.0222469828
295646461,SMAATO,314067.85147199756
766443283,INNERACTIVE_DIRECT,312746.4774146577
com.sec.android.app.samsungapps,SAMSUNG,312716.18768492073
319881193,UNITY,312412.26913294644
1600525061,NIMBUS,311205.88590512675
6445905219,VUNGLE,305179.5859569899
com.king.candycrushsaga,VUNGLE,304321.8659870334
1176147574,VUNGLE,303815.1476360091
306310789,VUNGLE,298072.6905157948
1667538256,VUNGLE,297702.579358005
1388988209,VUNGLE,295894.4778250876
319881193,INMOBI,291447.8032906032
com.metro.minus1,VUNGLE,290786.99025400175
com.grindrapp.android,VUNGLE,287200.2256580777
1636235979,MINTEGRAL,283805.1412239882
382617920,DOUBLECLICK,275898.08722053515
com.lemon.lvoverseas,VUNGLE,275172.9628210178
6468921495,UNITY,271900.8331709989
1487882541,APPODEAL,269942.36949799996
com.tripledot.solitaire,VUNGLE,269803.2834709505
