market_id,exchange,ad_format,revenue,creative_type
1617391485,VUNGLE,interstitial,1661757.7121679762,video
com.block.juggle,VUNGLE,interstitial,651207.0536430202,video
359917414,VUNGLE,interstitial,537824.479072996,video
570060128,VUNGLE,interstitial,492324.56907002215,video
com.snaptube.premium,VUNGLE,interstitial,442251.5405991123,video
6748950306,VUNGLE,interstitial,437821.25478898815,video
281940292,VERVE,interstitial,403645.20644200133,video
468996152,VUNGLE,interstitial,394663.2398039798,video
com.dywx.larkplayer,VUNGLE,interstitial,388637.75071001134,video
com.eyecon.global,VUNGLE,interstitial,382274.8327573237,video
com.block.juggle,INNERACTIVE_DIRECT,interstitial,365892.71410199616,video
com.xiaomi.mipicks,VUNGLE,native,328931.96008022426,non_video
553834731,VUNGLE,interstitial,324039.969288948,video
1617391485,VUNGLE,native,301799.87422896846,non_video
com.vitastudio.mahjong,VUNGLE,interstitial,296635.6325019886,video
6468921495,VUNGLE,interstitial,293846.9267679895,video
319881193,APPODEAL,interstitial,284555.96480599995,video
571801488,VUNGLE,interstitial,281429.22903796606,video
632064380,VUNGLE,native,276657.9233439886,non_video
1598997500,VUNGLE,interstitial,271142.8504489972,video
6504849169,VUNGLE,interstitial,266059.6319679974,video
591560124,VUNGLE,interstitial,264389.83540600195,video
6468921495,APPODEAL,interstitial,255414.22191699938,video
com.metropcs.metrozone,VUNGLE,interstitial,251720.4401440656,video
295646461,APPODEAL,interstitial,239660.011193,video
1636235979,VUNGLE,interstitial,238696.43232998447,video
com.eyecon.global,INMOBI,interstitial,228038.22911201103,video
1370293473,VUNGLE,interstitial,220748.55765201585,video
382233851,VUNGLE,interstitial,216245.2638469886,video
6744975195,VUNGLE,interstitial,214306.49840400252,video
6449206831,VUNGLE,interstitial,206839.6147689844,video
1617391485,BIGO,interstitial,206456.22908799702,video
766443283,VUNGLE,interstitial,201856.54582576672,video
com.duolingo,VUNGLE,interstitial,197690.45371098898,video
net.zedge.android,VUNGLE,interstitial,194511.71924699645,video
359917414,APPODEAL,interstitial,194151.99215399963,video
1617391485,INNERACTIVE_DIRECT,interstitial,191955.74318299568,video
1496354836,VUNGLE,interstitial,191486.81108500183,video
Vidmate,VUNGLE,interstitial,189837.35521335038,video
569077959,NIMBUS,interstitial,187140.5376920027,video
com.newleaf.app.android.victor,VUNGLE,interstitial,186115.05748499106,video
1617391485,INMOBI,interstitial,183961.23266099714,video
1617391485,VUNGLE,banner,179976.08582409687,non_video
1207472156,VUNGLE,interstitial,177905.26230000023,video
1638139403,VUNGLE,interstitial,175488.79550599944,video
com.xiaomi.mipicks,XIAOMI,native,167677.6791501243,non_video
1617391485,IRONSOURCE,interstitial,166311.99942099882,video
305343404,VUNGLE,interstitial,160525.4170969619,video
416048305,VUNGLE,interstitial,157288.54077100017,video
6747492600,VUNGLE,interstitial,156942.96142999997,video
com.firsttouchgames.dls7,VUNGLE,interstitial,150402.68779801283,video
com.freereels.app,VUNGLE,interstitial,150234.84542899474,video
com.samsung.android.game.gamehome,SAMSUNG,native,149729.2687199923,non_video
1600525061,VUNGLE,interstitial,149616.48070398593,video
6449190344,VUNGLE,interstitial,149116.18942699957,video
399355755,VUNGLE,interstitial,149027.57297702116,video
6468921495,VERVE,interstitial,146704.60049500043,video
6464002625,VUNGLE,interstitial,146163.43887299797,video
com.enflick.android.TextNow,VUNGLE,interstitial,145494.03186299128,video
6499209744,VUNGLE,interstitial,143015.24157100028,video
1196764367,VUNGLE,interstitial,140262.88914600032,video
305343404,NIMBUS,interstitial,136255.22393398933,video
com.worldance.drama,VUNGLE,interstitial,135765.32130499918,video
1600525061,NIMBUS,interstitial,134389.3651940017,video
6748397500,VUNGLE,interstitial,134280.55778399197,video
1617391485,INMOBI,native,133529.77715791424,non_video
1130153523,VUNGLE,interstitial,130303.679653003,video
553834731,A9TAM,interstitial,127149.89349301018,video
com.vitastudio.mahjong,APPODEAL,interstitial,125324.03305699935,video
1462911602,VUNGLE,interstitial,124393.41067201553,video
395979574,VUNGLE,interstitial,123100.382577998,video
com.particlenews.newsbreak,DOUBLECLICK,interstitial,121934.77789300123,video
6751056652,APPODEAL,interstitial,121726.3073310002,video
com.intsig.camscanner,VUNGLE,interstitial,120991.13474400697,video
6758184735,VUNGLE,interstitial,120504.67584500049,video
com.tripledot.solitaire,VUNGLE,interstitial,116526.0864519893,video
com.dream11.fantasy.cricket.football.kabaddi,VUNGLE,interstitial,116069.31123299965,video
329218549,VUNGLE,interstitial,115938.4538970003,video
com.vitastudio.mahjong,INNERACTIVE_DIRECT,interstitial,114916.50659999927,video
1671705818,VUNGLE,interstitial,113845.6144190025,video
com.enflick.android.TextNow,INMOBI,interstitial,112481.93672700024,video
319881193,VERVE,interstitial,112419.12508199943,video
1103438575,VUNGLE,interstitial,111399.93611799931,video
academy.gocrypto.trading,VUNGLE,interstitial,111387.63100999828,video
6751056652,VUNGLE,interstitial,111328.94073799999,video
6498883328,VUNGLE,interstitial,111269.01903999802,video
1487882541,VUNGLE,interstitial,111098.89804799644,video
com.king.candycrushsaga,VUNGLE,interstitial,109231.29005700792,video
6743385713,VUNGLE,interstitial,107731.33582600218,video
428312806,VUNGLE,interstitial,107339.37404299958,video
506627515,VUNGLE,interstitial,107065.497213994,video
com.nebula.mahjongtile,VUNGLE,interstitial,106533.69119999981,video
com.samsung.android.app.spage,VUNGLE,mrec,106390.90440800042,non_video
6482849843,VUNGLE,interstitial,104863.5209970002,video
698255242,APPODEAL,interstitial,102712.2252839998,video
1423046460,VUNGLE,interstitial,102261.95364999991,video
com.ecffri.arrows,VUNGLE,interstitial,102260.86705900423,video
6468921495,UNITY,interstitial,101951.79755599925,video
6468921495,INMOBI,interstitial,101732.77425599977,video
382233851,INMOBI,interstitial,100206.7663989886,video
1193508329,VUNGLE,interstitial,99838.35970800542,video
1617391485,INNERACTIVE_DIRECT,native,99628.86390968492,non_video
com.lemon.lvoverseas,VUNGLE,interstitial,97948.21142599957,video
1472419762,VUNGLE,interstitial,97444.70519800026,video
766443283,VUNGLE,banner,96757.45842596308,non_video
com.oakever.tiletrip,VUNGLE,interstitial,96146.7189110171,video
880047117,VUNGLE,interstitial,94556.70915100585,video
319881193,VUNGLE,interstitial,94117.7380329993,video
1636235979,MINTEGRAL,interstitial,92312.80465000196,video
com.vitastudio.mahjong,INMOBI,interstitial,90333.49637499868,video
com.sec.android.app.samsungapps,SAMSUNG,interstitial,89048.47939399704,video
com.resultadosfutbol.mobile,VUNGLE,interstitial,88941.63504296792,video
1617391485,UNITY,interstitial,88595.72039299943,video
314716233,VUNGLE,interstitial,88549.67824899804,video
com.macrovideo.v380pro,VUNGLE,interstitial,87982.26490699028,video
591560124,APPODEAL,interstitial,87697.65507300013,video
1388988209,VUNGLE,interstitial,86194.35107299588,video
1215933788,VUNGLE,interstitial,85461.2956649999,video
com.metro.minus1,VUNGLE,native,85097.83046499974,non_video
766443283,INNERACTIVE_DIRECT,native,85082.78807090847,non_video
351331194,VUNGLE,interstitial,84923.87295399723,video
com.xiaomi.mipicks,MINTEGRAL,native,83635.04409600115,non_video
319881193,UNITY,interstitial,83441.6814099995,video
com.microsoft.microsoftsolitairecollection,VUNGLE,interstitial,82684.17529299931,video
553834731,DOUBLECLICK,interstitial,82165.03597300015,video
com.playit.videoplayer,VERVE,interstitial,81806.68261899317,video
com.grindrapp.android,VUNGLE,interstitial,81568.14569002735,video
517539894,NIMBUS,interstitial,81544.23468500344,video
com.mxtech.videoplayer.ad,VUNGLE,interstitial,81420.25459399952,video
850417475,VUNGLE,interstitial,80932.49820900381,video
632064380,APPLOVIN,banner,79548.65274599081,non_video
6475168012,VUNGLE,interstitial,79458.33862999917,video
com.metropcs.metrozone,INMOBI,native,78008.70232499967,non_video
591560124,VUNGLE,native,77688.50204492589,non_video
com.xm.csee,VUNGLE,interstitial,77664.79100599691,video
com.enflick.android.TextNow,INNERACTIVE_DIRECT,interstitial,77249.68664399993,video
388627783,VUNGLE,interstitial,77222.52616099772,video
314716233,NIMBUS,banner,77099.50893099648,non_video
com.tripledot.woodoku,VUNGLE,interstitial,76040.5065510008,video
698255242,VUNGLE,interstitial,75676.05150999977,video
1344700142,VUNGLE,interstitial,75417.04114000652,video
com.imo.android.imoim,PANGLE,interstitial,74836.91518000221,video
com.miniclip.eightballpool,VUNGLE,interstitial,74599.66729999945,video
6445905219,VUNGLE,interstitial,74569.59194900101,video
1487882541,APPODEAL,interstitial,73906.80146699976,video
6754243057,VUNGLE,interstitial,73117.39376199964,video
com.block.juggle,INMOBI,interstitial,71913.96214299963,video
com.grindrapp.android,INMOBI,interstitial,71817.405413999,video
6502341730,BIGO,interstitial,71609.20276899992,video
382617920,VUNGLE,native,71493.95577993123,non_video
com.miui.global.packageinstaller,XIAOMI,interstitial,71367.84665299939,video
com.lenovo.anyshare.gps,VUNGLE,interstitial,71239.51956899979,video
fr.vinted,VUNGLE,native,70482.94622599277,non_video
382617920,DOUBLECLICK,native,70205.1724079019,non_video
com.wood.block.sudoku.puzzle.bm,VUNGLE,interstitial,69688.77312899985,video
395979574,APPODEAL,interstitial,67957.31686499978,video
281940292,VERVE,native,67748.37690099685,non_video
com.sofascore.results,VUNGLE,interstitial,67453.26384398948,video
ai.character.app,VUNGLE,interstitial,67157.67389099316,video
336435697,VUNGLE,interstitial,67127.5738050314,video
295646461,VERVE,interstitial,66715.64054700002,video
6608975929,VUNGLE,interstitial,66608.51645200004,video
1667538256,VUNGLE,interstitial,66347.44943199963,video
1617391485,INMOBI,banner,66294.10080912351,non_video
6499293031,VUNGLE,interstitial,66117.3794140015,video
com.instabridge.android,VUNGLE,interstitial,66067.43337700273,video
359917414,MOBILITYWARE,interstitial,65665.33458200037,video
605569663,VUNGLE,interstitial,65224.21910901406,video
com.flightradar24free,VUNGLE,interstitial,65012.11558499679,video
1544750895,KONTEXT,interstitial,64650.20428400319,video
com.metropcs.metrozone,DOUBLECLICK,interstitial,64575.69676299891,video
591560124,VUNGLE,banner,64564.21725395735,non_video
com.blockchainvault,VUNGLE,interstitial,64505.32496299948,video
eu.livesport.FlashScore_com,VUNGLE,interstitial,64131.37762998082,video
6504324020,VUNGLE,interstitial,64117.002601,video
com.Beauchamp.Messenger.external,INNERACTIVE_DIRECT,interstitial,64072.21460900018,video
6502341730,VUNGLE,interstitial,63934.55720400012,video
com.easybrain.crossword.puzzles,VUNGLE,interstitial,63509.2069530013,video
com.badoo.mobile,VUNGLE,interstitial,62924.574911994896,video
6740043080,VUNGLE,interstitial,62691.92764799923,video
1544750895,VUNGLE,interstitial,62526.7737900006,video
6468921495,INNERACTIVE_DIRECT,interstitial,61956.584665999835,video
1619030760,VUNGLE,interstitial,61870.67960100004,video
301987699,VUNGLE,interstitial,61816.75336399935,video
1660171117,VUNGLE,interstitial,61697.11465699973,video
1644847077,VUNGLE,interstitial,61394.12679600474,video
1355464544,VUNGLE,interstitial,61346.626514999356,video
1250312807,VUNGLE,interstitial,61259.11306000393,video
1025707485,VUNGLE,interstitial,60831.32406301644,video
com.imo.android.imoim,VUNGLE,interstitial,60350.45730500217,video
281940292,VUNGLE,banner,60209.55714600003,non_video
1407852246,VUNGLE,interstitial,59696.80175200131,video
com.freereels.app,APPODEAL,interstitial,59390.939106999576,video
6747875092,VUNGLE,interstitial,59350.21963600009,video
1521236603,VUNGLE,interstitial,58674.22652899984,video
com.bigwinepot.nwdn.international,VUNGLE,interstitial,58230.25649799942,video
592331499,VUNGLE,interstitial,56698.87362299963,video
com.playit.videoplayer,VUNGLE,interstitial,56692.11860901018,video
com.block.juggle,BIGO,interstitial,56600.34393499934,video
com.enzo.paulo,VUNGLE,interstitial,55849.87697300174,video
550928207,VUNGLE,interstitial,55724.67292795139,video
net.zedge.android,INNERACTIVE_DIRECT,interstitial,55555.307959000085,video
6499306806,VUNGLE,interstitial,55323.265729999686,video
591560124,INMOBI,interstitial,54797.67601499992,video
1196764367,VUNGLE,native,54397.6647429912,non_video
com.oakever.tiletrip,INNERACTIVE_DIRECT,interstitial,54395.824942000196,video
com.miui.home,VUNGLE,native,53869.441116139824,non_video
com.netshort.abroad,INNERACTIVE_DIRECT,interstitial,53730.3363779997,video
1463509237,VUNGLE,interstitial,53645.315560000105,video
6748950306,APPODEAL,interstitial,53588.827689,video
1444990764,VUNGLE,interstitial,53337.582121999505,video
1176027022,VUNGLE,interstitial,52761.276669000246,video
com.kiloo.subwaysurf,VUNGLE,interstitial,52676.031351999394,video
336435697,UNITY,interstitial,52628.116210001455,video
766443283,VUNGLE,native,52547.68937090809,non_video
591560124,INMOBI,native,52141.21133900728,non_video
com.robtopx.geometryjumplite,VUNGLE,interstitial,52021.85113899895,video
com.truecaller,A9TAM,mrec,51582.60039900235,non_video
com.fugo.wow,VUNGLE,interstitial,51524.75382900043,video
com.Gamnest.CandyRace,VUNGLE,interstitial,51379.19769399994,video
6444946155,VUNGLE,interstitial,51179.464687000094,video
