market_id,ad_format,non_vx_spend_30d,vx_spend_30d
1073936461,banner,1391.1825059999965,0.0
1073936461,mrec,72.74896899999985,0.0
1212951043,mrec,1e-06,0.0
1357464684,mrec,733.6041449999985,0.0
1357464684,native,647.1723300000021,0.0
1357464684,banner,3e-06,0.0
1407852246,mrec,0.003333,0.0
1420058690,mrec,1e-06,0.0
1459645446,interstitial,0.000419,0.0
1498889847,mrec,0.0005329999999999,0.0
1502447854,mrec,304.6973970000007,0.0
1509453185,native,34017.42912500031,0.0
1509453185,banner,22716.236423999682,0.0
1509453185,mrec,240.8948200000016,0.0
1544750895,mrec,80.71323899999898,0.0
1562817072,mrec,0.3523749999999996,0.0
1624606445,banner,7657.319335000051,0.0
1624606445,native,4367.9770099999705,0.0
1624606445,mrec,176.25686800000125,0.0
281940292,interstitial,455037.03582900483,0.0
512939461,mrec,5.2e-05,0.0
597088068,native,656.9935200000082,0.0
597088068,mrec,501.3805609999922,0.0
6444946155,native,0.401914,0.0
6446005634,native,2.5778919999999994,0.0
6451208928,mrec,3e-06,0.0
6465991018,mrec,5e-06,0.0
6471572249,banner,19355.110103000054,0.0
6471572249,native,8569.272116000006,0.0
6478063606,mrec,0.000257,0.0
6504849169,mrec,0.000156,0.0
651510680,mrec,2e-06,0.0
6742221896,interstitial,36587.80365700048,0.0
6742221896,mrec,2.2246189999999118,0.0
6747875092,banner,35424.74276900007,0.0
6747875092,native,33894.29573700021,0.0
6754558455,banner,4846.000020000086,0.0
6754558455,mrec,0.7095630000000004,0.0
6754558455,native,0.6262929999999995,0.0
6759763476,banner,7421.298312999988,0.0
6759763476,native,1393.2167340000199,0.0
993090598,mrec,97.41599699999887,0.0
ball.sort.puzzle.color.sorting.bubble.games,native,6899.268939000014,0.0
ball.sort.puzzle.color.sorting.bubble.games,banner,2499.8376860000258,0.0
ball.sort.puzzle.color.sorting.bubble.games,mrec,0.022538,0.0
com.Gamnest.CandyRace,native,6884.855486999975,0.0
com.Hadiz.Holeucaneat,native,2326.5383200000506,0.0
com.UCMobile.intl,native,377.0481589999952,0.0
com.UCMobile.intl,banner,7.194482999999987,0.0
com.UCMobile.intl,mrec,3.6953459999999967,0.0
com.aws.android,interstitial,39656.356093000126,0.0
com.callapp.contacts,mrec,2227.5341010000298,0.0
com.domobile.applockwatcher,banner,3e-06,0.0
com.dubox.drive,banner,15950.275687000252,0.0
com.dubox.drive,mrec,14248.229261999779,0.0
com.dubox.drive,native,12643.977619999816,0.0
com.ecffri.arrows,mrec,0.059616,0.0
com.goldendragon.luckyblessing,native,12819.58670399978,0.0
com.goldendragon.luckyblessing,mrec,0.066646,0.0
com.hotmini.drama.hot,native,2335.8698740000127,0.0
com.huub.tiger,interstitial,1610.2253660000072,0.0
com.huub.tiger,mrec,121.14305199998473,0.0
com.lemon.lvoverseas,banner,518.1237330000013,0.0
com.lemon.lvoverseas,mrec,0.0005899999999999999,0.0
com.michatapp.im,native,1898.530024000016,0.0
com.miniclip.carrom,mrec,0.002459,0.0
com.miui.global.packageinstaller,interstitial,78674.97488000155,0.0
com.miui.global.packageinstaller,mrec,1898.2580960000032,0.0
com.miui.player,native,11006.090106999905,0.0
com.miui.player,banner,151.24972299999814,0.0
com.miui.player,mrec,18.496279999999896,0.0
com.mobilityware.spider,mrec,125.2921669999929,0.0
com.netshort.abroad,mrec,0.032817,0.0
com.particlenews.newsbreak,banner,2711.021458000024,0.0
com.pixel.art.coloring.color.number,banner,5998.169362000012,0.0
com.pixel.art.coloring.color.number,native,5331.9986010001085,0.0
com.pixel.art.coloring.color.number,mrec,0.000932,0.0
com.sec.android.app.samsungapps,mrec,7.696304999999999,0.0
com.sled.surfers.game,native,0.7388860000000002,0.0
com.sled.surfers.game,mrec,2.1e-05,0.0
com.sled.surfers.game,banner,1.7999999999999997e-05,0.0
com.storymatrix.drama,native,74.7348210000002,0.0
com.storymatrix.drama,mrec,0.030523,0.0
com.storymatrix.drama,banner,0.0129909999999999,0.0
com.studio27.MelonPlayground,native,2588.7464699999914,0.0
com.studio27.MelonPlayground,banner,1e-06,0.0
com.truecaller,interstitial,42012.02901900026,0.0
com.vincentb.MobControl,mrec,4e-06,0.0
com.weaver.app.prod,banner,0.039574,0.0
com.weaver.app.prod,mrec,0.020187999999999998,0.0
com.xiaomi.mipicks,interstitial,13572.338950999922,0.0
com.xiaomi.mipicks,mrec,1724.3515820000289,0.0
free.vpn.unblock.proxy.turbovpn,mrec,1.1052399999999991,0.0
jp.naver.linemanga.android,mrec,72.43828600000074,0.0
jp.naver.linemanga.android,native,34.37950900000067,0.0
jp.naver.linemanga.android,banner,7e-06,0.0
kjv.bible.kingjamesbible,native,332.37450800000556,0.0
kjv.bible.kingjamesbible,banner,7e-06,0.0
puzzle.yarn.fever.unravel.puzzle,banner,1094.219125000007,0.0
puzzle.yarn.fever.unravel.puzzle,native,1040.2169030000266,0.0
solitaire.patience.card.games.klondike.free,native,4705.995477000024,0.0
solitaire.patience.card.games.klondike.free,banner,2701.2429230000294,0.0
sorting.games.goods.sort.triple.match3d.puzzle.stuff,native,3639.41468800003,0.0
sorting.games.goods.sort.triple.match3d.puzzle.stuff,banner,1494.869818000022,0.0
video.downloader.videodownloader,mrec,0.0206909999999999,0.0
videoplayer.videodownloader.downloader,mrec,0.000528,0.0
water.sort.puzzle.game.color.sorting.free,native,2592.335387000046,0.0
water.sort.puzzle.game.color.sorting.free,banner,820.8956710000112,0.0
water.sort.puzzle.game.color.sorting.free,mrec,0.1043799999999999,0.0
