account_id,account_name,total_7d_spend,daily_spend
5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,1438210.9801241586,205458.71
606c7bac7a37680015801ad8,jiayou,1289944.4186131125,184277.77
57d1b461ae2b57d903000027,Easybrain Ltd,828012.3235782486,118287.47
622b9915ac4bf1001715b790,Activision Blizzard Media (King),791044.8220286506,113006.4
561e8d936b8d90f61a000455,Mobility Ware,726799.2019873408,103828.46
5c05196699e4374b87bda3b9,Tripledot Studios,619499.6738498054,88499.95
56c3a378adccd1cb7e00000a,Zynga,522982.7909989474,74711.83
575d1c861295e1447c0000e5,snaptube,476956.24446298275,68136.61
69379d46192ce0aadaecc874,Particle Media Inc,429026.1951119107,61289.46
6297c4bc012073001b3df035,Yandex Inc.,416057.1557760801,59436.74
67c01767cc8ae200116e5d00,Skywork AI PTELTD,386597.58080196695,55228.23
5fc671cbba624b0015a61bf1,Saygames LTD,374801.58285915916,53543.08
67b5bff30471850011443643,HURELAX PTE LTD,359763.60705609794,51394.8
68799f38babc2000110fe539,Duolingo,357628.359655111,51089.77
59baf611f2287a750a0034c2,CrazyMaple Studio,333902.3017557807,47700.33
6107c3b4abaef100175b9029,Lessmore UG (haftungsbeschränkt),331578.6232488427,47368.37
650360eb0950ee00114dc484,OfferUp,310216.82760217914,44316.69
561e8d976b8d90f61a0045d7,"PeopleFun, Inc.",295639.65296900837,42234.24
5f064bf93191d60018f0fd5a,Lion Studios,279540.81260530016,39934.4
56d55c72562b9c353800000d,Voodoo,275609.8768500115,39372.84
579643ec6c081adf5c00004c,Microsoft Casual Games,266349.6078550965,38049.94
622a3f10c690c40013e4728e,TextNow,251117.15718964767,35873.88
5b2aad55ec47af23be0124fc,Grindr,245227.58408761822,35032.51
634d301fa3774b001b7c0dbc,ToGather Fun Limited,238577.3398520317,34082.48
64afadea4da41800114faaeb,Unity - Americas,229540.53587183464,32791.51
658a2fc2ab2b4800112923f1,HANGZHOU JF SOFTWARE CO LTD,228616.99564081169,32659.57
5e96c1b29704720015d9f4ae,Guru Network Limited,212248.58770996402,30321.23
66d6b6896f113e001198b89c,Xiaomi Group,204562.40080916174,29223.2
619b548fc9c9c1001796f1f6,Gimica GmbH,197972.90463621262,28281.84
568b8cb3bb2089a80600000a,Playsimple Games,196037.8259056249,28005.4
5d3a5de9ddc71000189c7a84,"Shanghai Linguan Data Co., Ltd.",195205.64787528873,27886.52
6021599b8b3e5600159fcc76,HITAPPS GAMES LTD,193164.23320361873,27594.89
67a5bd8b7e5a1b00114a860e,POLIGON PTE LTD,191958.9720244318,27422.71
6247027c20721a0018bb6528,First Touch Games,183627.51945978985,26232.5
64803209bfd9aa0011593484,Bluetile Games,179689.33089388156,25669.9
685efaf2892f9d0011d7b87f,The Weather Company,179619.09097089616,25659.87
66bf1c62ddea6f0011b313a9,NETSTORY PTE LTD,178975.7518628327,25567.96
67e22d64b039580011378f33,"Guangzhou Hongshi information Technology Co., Ltd.",177936.42440360814,25419.49
5ce32f41e15f77001148e36d,Zego Global Pte Ltd,177262.71960843095,25323.25
66f36da16f113e0011999ff8,Meitu China,172088.8448043481,24584.12
5fe2fafd6013fb0015208652,GamoVation,171855.17427690024,24550.74
670cfa366f113e00119a799f,Vinted,164612.74059348542,23516.11
58737456236d8f446400071c,FIOGONIA LIMITED,153189.9145609664,21884.27
64c3551f1e5137001122d418,BYTEDANCE PTE LTD,147368.3556520454,21052.62
58b91be73e5caab04b000296,Mavericks Mobile,142374.48134702982,20339.21
6862932aaff9d800114174ac,Flightradar24 AB,142361.0733440433,20337.3
5fc618102e8dd2001579b65d,App Central ltd,141044.5712006226,20149.22
684c3af4806ba9001147f9cd,Livesport sro,136783.33804353166,19540.48
5a57133a3610bbb671016ff3,FALCON GLOBAL LTD.,136526.65022236868,19503.81
5b1526a7de961d3317b1d475,X-FLOW LTD,134496.1706001876,19213.74
561e8d966b8d90f61a0033c4,Moon Active,133782.2488742194,19111.75
6649f6de557b6e0011539536,Snackbox Inc,124985.67626743333,17855.1
5bccfdfc02937a3064660fb7,Musi Inc.,124514.12383323893,17787.73
668545a239a54a0011299e6e,Automattic,124091.39848282264,17727.34
583c02c932ec4ba51300037e,Gamegou,123121.47764112116,17588.78
5af5b8f9e408f136156e7cae,"Zedge, Inc.",121807.0882859823,17401.01
6698b45b60e2ea00114aa807,Poly.AI Android,120447.06943861496,17206.72
5b69051b3a5ab61db2c22189,株式会社GOODROID,120304.31384832718,17186.33
561e8d966b8d90f61a003414,Scopely,118368.183714124,16909.74
