account_id,account_name,app_id,app_name,region,am_name,level,pub_daily_spend,blocked_creative_id,rtb_id,external_id,adomain,creative_daily_spend,potential_uplift_daily
606c7bac7a37680015801ad8,jiayou,624d1d920ea4f6b17766ae63,Block Blast-ios,APAC,Sunton Sun,app,83845.04,5f6413c9612b1a0015099993_1467220,5f6413c9612b1a0015099993,1467220,lessmore.games,23803.74,1297.58
606c7bac7a37680015801ad8,jiayou,624d1d920ea4f6b17766ae63,Block Blast-ios,APAC,Sunton Sun,app,83845.04,5f6413c9612b1a0015099993_1559374,5f6413c9612b1a0015099993,1559374,lessmore.games,12014.28,654.92
606c7bac7a37680015801ad8,jiayou,624d1d920ea4f6b17766ae63,Block Blast-ios,APAC,Sunton Sun,app,83845.04,5f6413c9612b1a0015099993_1384772,5f6413c9612b1a0015099993,1384772,king.com,9755.25,531.77
606c7bac7a37680015801ad8,jiayou,624d1d920ea4f6b17766ae63,Block Blast-ios,APAC,Sunton Sun,app,83845.04,5f6413c9612b1a0015099993_1452540,5f6413c9612b1a0015099993,1452540,king.com,9133.96,497.91
57d1b461ae2b57d903000027,Easybrain Ltd,,,EMEA,Dina Eraksan,account,100981.67,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20260429_PqBzL,67055dc40f05bd0011e279ae,Video_cat3__pkg__bat_0_mat_0_20260429_PqBzL,temu.com,7120.52,467.48
57d1b461ae2b57d903000027,Easybrain Ltd,,,EMEA,Dina Eraksan,account,100981.67,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20260320_QgZBR,67055dc40f05bd0011e279ae,Video_cat3__pkg__bat_0_mat_0_20260320_QgZBR,temu.com,6987.67,458.76
56d55c72562b9c353800000d,Voodoo,,,EMEA,Hadil Salameh,account,43844.81,5f6413c9612b1a0015099993_1559374,5f6413c9612b1a0015099993,1559374,lessmore.games,12014.28,342.47
5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,,,APAC,Aria Gao,account,222290.25,5f6413c9612b1a0015099993_760736,5f6413c9612b1a0015099993,760736,snap.com,2062.03,298.01
56d55c72562b9c353800000d,Voodoo,,,EMEA,Hadil Salameh,account,43844.81,5f6413c9612b1a0015099993_1274975,5f6413c9612b1a0015099993,1274975,king.com,9793.63,279.17
56d55c72562b9c353800000d,Voodoo,,,EMEA,Hadil Salameh,account,43844.81,5f6413c9612b1a0015099993_1384772,5f6413c9612b1a0015099993,1384772,king.com,9755.25,278.08
56c3a378adccd1cb7e00000a,Zynga,,,Americas,Lisa Tolentino,account,61089.37,5f6413c9612b1a0015099993_434137,5f6413c9612b1a0015099993,434137,doordash.com,6812.25,270.56
56d55c72562b9c353800000d,Voodoo,,,EMEA,Hadil Salameh,account,43844.81,5f6413c9612b1a0015099993_1452540,5f6413c9612b1a0015099993,1452540,king.com,9133.96,260.37
606c7bac7a37680015801ad8,jiayou,633549fb3901c096a37b2893,Block Juggle—GP,APAC,Sunton Sun,app,54207.34,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20260429_0uD05,67055dc40f05bd0011e279ae,Video_cat3__pkg__bat_0_mat_0_20260429_0uD05,temu.com,7128.57,251.23
57d1b461ae2b57d903000027,Easybrain Ltd,,,EMEA,Dina Eraksan,account,100981.67,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_0vpIp,67055dc40f05bd0011e279ae,Video_cat3__pkg__bat_0_mat_0_20250619_0vpIp,temu.com,3617.52,237.5
606c7bac7a37680015801ad8,jiayou,624d1d920ea4f6b17766ae63,Block Blast-ios,APAC,Sunton Sun,app,83845.04,5f6413c9612b1a0015099993_1724250,5f6413c9612b1a0015099993,1724250,lessmore.games,4214.66,229.75
56d55c72562b9c353800000d,Voodoo,,,EMEA,Hadil Salameh,account,43844.81,5f6413c9612b1a0015099993_1619661,5f6413c9612b1a0015099993,1619661,dreamgames.com,7378.02,210.31
5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,653a33af7b1a3c2b6f2b138a,Vita Mahjong,APAC,Aria Gao,app,43452.43,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_WRYyu,67055dc40f05bd0011e279ae,Video_cat3__pkg__bat_0_mat_0_20250619_WRYyu,temu.com,6996.1,197.64
606c7bac7a37680015801ad8,jiayou,624d1d920ea4f6b17766ae63,Block Blast-ios,APAC,Sunton Sun,app,83845.04,5f6413c9612b1a0015099993_1467223,5f6413c9612b1a0015099993,1467223,lessmore.games,3559.63,194.04
56c3a378adccd1cb7e00000a,Zynga,,,Americas,Lisa Tolentino,account,61089.37,5f6413c9612b1a0015099993_408880,5f6413c9612b1a0015099993,408880,doordash.com,4404.1,174.92
606c7bac7a37680015801ad8,jiayou,624d1d920ea4f6b17766ae63,Block Blast-ios,APAC,Sunton Sun,app,83845.04,5f6413c9612b1a0015099993_1539961,5f6413c9612b1a0015099993,1539961,dreamgames.com,3174.76,173.06
606c7bac7a37680015801ad8,jiayou,624d1d920ea4f6b17766ae63,Block Blast-ios,APAC,Sunton Sun,app,83845.04,5f6413c9612b1a0015099993_1371087,5f6413c9612b1a0015099993,1371087,googll.store,3115.99,169.86
56d55c72562b9c353800000d,Voodoo,,,EMEA,Hadil Salameh,account,43844.81,5f6413c9612b1a0015099993_1729474,5f6413c9612b1a0015099993,1729474,supercell.com,5529.74,157.63
56d55c72562b9c353800000d,Voodoo,,,EMEA,Hadil Salameh,account,43844.81,5f6413c9612b1a0015099993_1622357,5f6413c9612b1a0015099993,1622357,grand.gs,5519.89,157.35
606c7bac7a37680015801ad8,jiayou,624d1d920ea4f6b17766ae63,Block Blast-ios,APAC,Sunton Sun,app,83845.04,5f6413c9612b1a0015099993_1467745,5f6413c9612b1a0015099993,1467745,loomgames.com,2737.01,149.2
56d55c72562b9c353800000d,Voodoo,,,EMEA,Hadil Salameh,account,43844.81,5f6413c9612b1a0015099993_1724250,5f6413c9612b1a0015099993,1724250,lessmore.games,4214.66,120.14
5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,,,APAC,Aria Gao,account,222290.25,5f6413c9612b1a0015099993_586426,5f6413c9612b1a0015099993,586426,googll.store,795.41,114.95
606c7bac7a37680015801ad8,jiayou,624d1d920ea4f6b17766ae63,Block Blast-ios,APAC,Sunton Sun,app,83845.04,5f6413c9612b1a0015099993_1263978,5f6413c9612b1a0015099993,1263978,dreamgames.com,2078.65,113.31
606c7bac7a37680015801ad8,jiayou,633549fb3901c096a37b2893,Block Juggle—GP,APAC,Sunton Sun,app,54207.34,5f6413c9612b1a0015099993_1371087,5f6413c9612b1a0015099993,1371087,googll.store,3115.99,109.82
5f064bf93191d60018f0fd5a,Lion Studios,,,Americas,Matthew Hong,account,23197.91,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20260429_hmmh2,67055dc40f05bd0011e279ae,Video_cat3__pkg__bat_0_mat_0_20260429_hmmh2,temu.com,7216.47,108.84
5f064bf93191d60018f0fd5a,Lion Studios,,,Americas,Matthew Hong,account,23197.91,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20260320_DDqeQ,67055dc40f05bd0011e279ae,Video_cat3__pkg__bat_0_mat_0_20260320_DDqeQ,temu.com,7195.46,108.52
5f064bf93191d60018f0fd5a,Lion Studios,,,Americas,Matthew Hong,account,23197.91,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20260429_AJZhJ,67055dc40f05bd0011e279ae,Video_cat3__pkg__bat_0_mat_0_20260429_AJZhJ,temu.com,7192.91,108.48
5f064bf93191d60018f0fd5a,Lion Studios,,,Americas,Matthew Hong,account,23197.91,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_Lngjc,67055dc40f05bd0011e279ae,Video_cat3__pkg__bat_0_mat_0_20250619_Lngjc,temu.com,7191.84,108.47
5f064bf93191d60018f0fd5a,Lion Studios,,,Americas,Matthew Hong,account,23197.91,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20260320_BqcAY,67055dc40f05bd0011e279ae,Video_cat3__pkg__bat_0_mat_0_20260320_BqcAY,temu.com,7180.6,108.3
5f064bf93191d60018f0fd5a,Lion Studios,,,Americas,Matthew Hong,account,23197.91,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20260429_iBuj4,67055dc40f05bd0011e279ae,Video_cat3__pkg__bat_0_mat_0_20260429_iBuj4,temu.com,7165.22,108.07
5f064bf93191d60018f0fd5a,Lion Studios,,,Americas,Matthew Hong,account,23197.91,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20260320_t6fNB,67055dc40f05bd0011e279ae,Video_cat3__pkg__bat_0_mat_0_20260320_t6fNB,temu.com,7146.21,107.78
