domain,rtb_account_id,country,network_spend_7d
casino.draftkings.com,5f6413c9612b1a0015099993,US,104400.22925094949
draftkings.com,5f6413c9612b1a0015099993,US,55374.7289447116
casino.draftkings.com,5f6413c9612b1a0015099993,CA,55315.96630799446
draftkings.com,602442ef9f0893001526406b,US,26813.50157612196
sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,24256.199761000025
draftkings.com,5f6413c9612b1a0015099993,CA,9074.656956338233
casino.draftkings.com,602442ef9f0893001526406b,US,8577.195083377985
draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,8252.195856000004
draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,3762.0469020000064
sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,2559.701940000004
draftkings.com,602442ef9f0893001526406b,CA,4.4997159210000115
casino.draftkings.com,602442ef9f0893001526406b,CA,3.4222965080000693
draftkings.com,65660afecebd4a0011dcc2ac,US,2.8203012477510714
draftkings.com,602442ef9f0893001526406b,JP,1.7259575099999973
draftkings.com,602442ef9f0893001526406b,MX,1.1610423410000001
casino.draftkings.com,602442ef9f0893001526406b,GB,1.022080231000001
sportsbook.draftkings.com,685d0956892f9d0011d79cb7,US,0.7399115800000001
casino.draftkings.com,602442ef9f0893001526406b,NG,0.6450891489999999
draftkings.com,5e56893e6c71d40018de3ad1,US,0.5715654123099503
casino.draftkings.com,602442ef9f0893001526406b,DE,0.5681890300000011
draftkings.com,602442ef9f0893001526406b,GB,0.5405353780000003
casino.draftkings.com,602442ef9f0893001526406b,MX,0.42069939900000053
casino.draftkings.com,602442ef9f0893001526406b,FR,0.3739581830000007
casino.draftkings.com,602442ef9f0893001526406b,IN,0.34019245300000034
draftkings.com,685d0956892f9d0011d79cb7,US,0.2821218300000001
draftkings.com,602442ef9f0893001526406b,DE,0.2362062960000002
casino.draftkings.com,602442ef9f0893001526406b,JP,0.22338294100000017
draftkings.com,602442ef9f0893001526406b,FR,0.18894408000000007
casino.draftkings.com,602442ef9f0893001526406b,AU,0.17288817200000003
draftkings.com,690b67ee68a76483c6871c19,US,0.17063411899999997
casino.draftkings.com,602442ef9f0893001526406b,NL,0.133930118
draftkings.com,602442ef9f0893001526406b,CH,0.10820361299999995
draftkings.com,602442ef9f0893001526406b,TW,0.10688626700000001
draftkings.com,602442ef9f0893001526406b,AU,0.091941585
sportsbook.draftkings.com,690b67ee68a76483c6871c19,US,0.086432538
draftkings.com,67f579a965660600111030c2,US,0.061390000000000035
draftkings.com,602442ef9f0893001526406b,IN,0.05209582600000001
draftkings.com,602442ef9f0893001526406b,BR,0.04910180599999999
draftkings.com,602442ef9f0893001526406b,KR,0.047814387999999985
