app_id,domain,rtb_account_id,country,daily_spend
524ad17f92fcd29365000006,draftkings.com,602442ef9f0893001526406b,US,0.0
579c0497be7334703a000072,casino.draftkings.com,5f6413c9612b1a0015099993,CA,9.6378
579c0497be7334703a000072,casino.draftkings.com,5f6413c9612b1a0015099993,US,27.9335
579c0497be7334703a000072,casino.draftkings.com,602442ef9f0893001526406b,CA,0.0001
579c0497be7334703a000072,casino.draftkings.com,602442ef9f0893001526406b,US,1.6109
579c0497be7334703a000072,draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,1.0452
579c0497be7334703a000072,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,1.6242
579c0497be7334703a000072,draftkings.com,5e56893e6c71d40018de3ad1,US,0.0001
579c0497be7334703a000072,draftkings.com,602442ef9f0893001526406b,US,0.0
579c0497be7334703a000072,draftkings.com,65660afecebd4a0011dcc2ac,CA,0.0
57bfce9a3ce6f97623000025,draftkings.com,5e56893e6c71d40018de3ad1,US,0.0
5915396ce3b1195326000413,casino.draftkings.com,602442ef9f0893001526406b,US,0.0011
591539d970abb44126000394,casino.draftkings.com,5f6413c9612b1a0015099993,CA,0.2953
591539d970abb44126000394,casino.draftkings.com,5f6413c9612b1a0015099993,US,23.5171
592fc29cc10833a4760012c6,draftkings.com,5e56893e6c71d40018de3ad1,US,0.0
592fc29cc10833a4760012c6,draftkings.com,602442ef9f0893001526406b,US,0.0
59c0bfe44b342c7f280015fe,casino.draftkings.com,602442ef9f0893001526406b,DE,0.0
59c0bfe44b342c7f280015fe,draftkings.com,602442ef9f0893001526406b,US,0.0
59d39cbfef6627a809002d5b,draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,0.0235
59d39cbfef6627a809002d5b,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,0.017
59d39cbfef6627a809002d5b,draftkings.com,5f6413c9612b1a0015099993,CA,0.0
59d39cbfef6627a809002d5b,draftkings.com,5f6413c9612b1a0015099993,US,0.0
59d39cbfef6627a809002d5b,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,0.0
59e7db9b598ece421700ded4,casino.draftkings.com,5f6413c9612b1a0015099993,CA,65.2226
59e7db9b598ece421700ded4,casino.draftkings.com,5f6413c9612b1a0015099993,US,28.0422
59e7db9b598ece421700ded4,casino.draftkings.com,602442ef9f0893001526406b,CA,0.0021
59e7db9b598ece421700ded4,casino.draftkings.com,602442ef9f0893001526406b,DE,0.0003
59e7db9b598ece421700ded4,casino.draftkings.com,602442ef9f0893001526406b,FR,0.0007
59e7db9b598ece421700ded4,casino.draftkings.com,602442ef9f0893001526406b,GB,0.0006
59e7db9b598ece421700ded4,casino.draftkings.com,602442ef9f0893001526406b,NG,0.002
59e7db9b598ece421700ded4,casino.draftkings.com,602442ef9f0893001526406b,US,2.4416
59e7db9b598ece421700ded4,draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,18.7673
59e7db9b598ece421700ded4,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,9.1383
59e7db9b598ece421700ded4,draftkings.com,602442ef9f0893001526406b,US,0.0
59e7dc15a81a003c1700ebfe,draftkings.com,5f3dc36a8421a5001528b784,US,0.0001
5a30e47b794900452500459c,draftkings.com,602442ef9f0893001526406b,CA,0.0
5a30e47b794900452500459c,draftkings.com,602442ef9f0893001526406b,US,0.0
5af5545d8e03cf7acee13a66,casino.draftkings.com,5f6413c9612b1a0015099993,CA,0.234
5af5545d8e03cf7acee13a66,casino.draftkings.com,5f6413c9612b1a0015099993,US,17.9423
5af5545d8e03cf7acee13a66,draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,0.0334
5af5545d8e03cf7acee13a66,draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,0.2764
5af5545d8e03cf7acee13a66,draftkings.com,5f6413c9612b1a0015099993,CA,0.0114
5af5545d8e03cf7acee13a66,draftkings.com,5f6413c9612b1a0015099993,US,1.2113
5af5545d8e03cf7acee13a66,draftkings.com,65660afecebd4a0011dcc2ac,US,0.0
5af5545d8e03cf7acee13a66,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,0.1462
5b14f1027ea39141340a6ada,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,CA,0.1436
5b14f1027ea39141340a6ada,sportsbook.draftkings.com,5bc0e10e25c7d7796ebe8fc0,US,1.0596
5b83e2f3ebcb4a0f62d80e85,casino.draftkings.com,602442ef9f0893001526406b,CA,0.0089
5b83e2f3ebcb4a0f62d80e85,casino.draftkings.com,602442ef9f0893001526406b,DE,0.0011
