app_id,account_id,app_only_domains,app_only_market_ids
5130b34aff10712a34000051,561e8d936b8d90f61a0014ca,[],[]
515aff900964d0f21f00000e,561e8d936b8d90f61a0014ca,[],[]
524ad17f92fcd29365000006,561e8d936b8d90f61a00134a,[],"[""1011501094"", ""1022231358"", ""1045849829"", ""1049229735"", ""1086126576"", ""1091435618"", ""1101761147"", ""1104808461"", ""1113263978"", ""1115014615"", ""1116642217"", ""1127804471"", ""1137494289"", ""1160082725"", ""1161672426"", ""1176039568"", ""1176223706"", ""1182900346"", ""1190624509"", ""1205120029"", ""1217925171"", ""1235644749"", ""1239729922"", ""1240081666"", ""1266303977"", ""1273974155"", ""1286539159"", ""1290077665"", ""1297924322"", ""1324604053"", ""1328936029"", ""1353739934"", ""1370370115"", ""1375850193"", ""1383218130"", ""1440151043"", ""1446532291"", ""1447199530"", ""1450580739"", ""1466930739"", ""1475069754"", ""1475229898"", ""1477002422"", ""1492788234"", ""1494135182"", ""1495172764"", ""1495324535"", ""1498897533"", ""1499239088"", ""1505014939"", ""1514909174"", ""1518746102"", ""1519174001"", ""1523273449"", ""1523486909"", ""1528844711"", ""1532393483"", ""1533857603"", ""1535739964"", ""1540085348"", ""1542981576"", ""1546199312"", ""1547692973"", ""1547764140"", ""1549636026"", ""1554601502"", ""1555218430"", ""1566782000"", ""1572092499"", ""1578225228"", ""1578703763"", ""1580531574"", ""1585970304"", ""1588862493"", ""1589762792"", ""1603688971"", ""1610705845"", ""1611547216"", ""1642483304"", ""1660835173"", ""408666248"", ""435357526"", ""435749624"", ""439873467"", ""440969744"", ""445358235"", ""468092531"", ""479491701"", ""490953349"", ""493051480"", ""495583407"", ""495583717"", ""514473273"", ""523642255"", ""543822916"", ""553834731"", ""558267252"", ""570107094"", ""575845341"", ""6443916869"", ""6444705716"", ""6445890717"", ""6446246671"", ""6448161041"", ""6449009743"", ""6450017895"", ""6453471674"", ""6459830902"", ""6463419262"", ""6463695846"", ""6466300988"", ""6466640072"", ""6469045391"", ""6469541260"", ""6472899730"", ""6473258542"", ""6474012858"", ""649530933"", ""6504332779"", ""672246969"", ""6739214526"", ""6739272396"", ""6740428939"", ""6741408932"", ""6742224257"", ""6744055140"", ""6748057256"", ""6748354357"", ""6749558340"", ""6751399524"", ""6751948253"", ""6752020786"", ""6752535267"", ""6752883564"", ""6754129633"", ""6754954188"", ""6754964161"", ""6758124631"", ""6759697773"", ""6759943639"", ""6760633478"", ""6760742606"", ""725169583"", ""779522558"", ""789634564"", ""796882776"", ""796885130"", ""804982722"", ""838802923"", ""848469604"", ""870116373"", ""878625143"", ""898285634"", ""918875294"", ""925322691"", ""945885228"", ""966029884"", ""985977336"", ""998904099"", ""999263063""]"
579c0497be7334703a000072,561e8d966b8d90f61a003414,[],"[""1023782170"", ""1057860506"", ""1058317706"", ""1076615810"", ""1078776661"", ""1095569891"", ""1118406919"", ""1123930673"", ""1153883316"", ""1184083151"", ""1196764367"", ""1197041040"", ""1197354394"", ""1207472156"", ""1207472160"", ""1214223596"", ""1225078420"", ""1226926872"", ""1237172656"", ""1237529195"", ""1245525899"", ""1260789484"", ""1269460400"", ""1269540854"", ""1273162445"", ""1276152771"", ""1291854522"", ""1299611345"", ""1299956969"", ""1302451299"", ""1311141262"", ""1313561414"", ""1314642201"", ""1335823906"", ""1347684152"", ""1369521645"", ""1370245504"", ""1370307771"", ""1373182463"", ""1375433870"", ""1388081123"", ""1403535416"", ""1413942319"", ""1418492982"", ""1420294918"", ""1437273344"", ""1438250448"", ""1439243654"", ""1439282938"", ""1441957412"", ""1443448520"", ""1446527131"", ""1446728841"", ""1449821332"", ""1452741962"", ""1453795744"", ""1462123372"", ""1462860914"", ""1464051413"", ""1466588301"", ""1476429715"", ""1477668963"", ""1477794664"", ""1478404082"", ""1482382774"", ""1486915152"", ""1570303461"", ""306245714"", ""321916506"", ""383076094"", ""517840944"", ""550946484"", ""582340397"", ""603338614"", ""609067187"", ""663996719"", ""694967269"", ""698848120"", ""708600202"", ""804379658"", ""922488002"", ""979759584"", ""994855806""]"
57bd636e47a977322200001a,561e8d956b8d90f61a0026fb,[],"[""6448104157""]"
57bfce9a3ce6f97623000025,561e8d956b8d90f61a0026fb,[],"[""ludo.tycoon.online.board.game""]"
590b5df4004ccfdd3b000a35,561e8d956b8d90f61a0030cf,[],"[""656971078""]"
5915396ce3b1195326000413,561e8d966b8d90f61a003414,[],"[""1023782170"", ""1057860506"", ""1058317706"", ""1076615810"", ""1078776661"", ""1095569891"", ""1118406919"", ""1123930673"", ""1153883316"", ""1182341536"", ""1184083151"", ""1196764367"", ""1197041040"", ""1197354394"", ""1207472156"", ""1207472160"", ""1214223596"", ""1225078420"", ""1226926872"", ""1237172656"", ""1237529195"", ""1245525899"", ""1260789484"", ""1269460400"", ""1269540854"", ""1273162445"", ""1276152771"", ""1291854522"", ""1299611345"", ""1299956969"", ""1302451299"", ""1311141262"", ""1313561414"", ""1314642201"", ""1335823906"", ""1347684152"", ""1369521645"", ""1370245504"", ""1370307771"", ""1373182463"", ""1375433870"", ""1388081123"", ""1403535416"", ""1407804709"", ""1413942319"", ""1418492982"", ""1420294918"", ""1437273344"", ""1438250448"", ""1439243654"", ""1439282938"", ""1441957412"", ""1443448520"", ""1446527131"", ""1446728841"", ""1449821332"", ""1452741962"", ""1453795744"", ""1462123372"", ""1462860914"", ""1464051413"", ""1466588301"", ""1476429715"", ""1477668963"", ""1477794664"", ""1478404082"", ""1482382774"", ""1486915152"", ""1570303461"", ""1582996254"", ""1602149052"", ""306245714"", ""321916506"", ""383076094"", ""517840944"", ""550946484"", ""582340397"", ""603338614"", ""609067187"", ""6447827216"", ""6471679383"", ""6478950175"", ""663996719"", ""694967269"", ""698848120"", ""708600202"", ""804379658"", ""922488002"", ""979759584"", ""994855806""]"
591539d970abb44126000394,561e8d966b8d90f61a003414,[],"[""athena.studio.wordhome"", ""com.LoopGames.Yatzy"", ""com.apprope.wordbubbles"", ""com.appynation.occw"", ""com.best.wordsearch.free"", ""com.bestword.freeword.flower"", ""com.bitmango.go.fourpicsonewordsolvethequiz"", ""com.bitmango.go.wordchampion"", ""com.bitmango.go.wordcookies"", ""com.bitmango.go.wordcookiescross"", ""com.bitmango.go.wordsearchhiddenwords"", ""com.bitmango.go.wordsfarmcross"", ""com.bitmango.go.wordtiles"", ""com.bitmango.wordscrush"", ""com.blacklight.word.alchemy"", ""com.bruyere.android.wordsearch"", ""com.crikey.wordtour"", ""com.crossword.bible.cookies.find.english"", ""com.disney.wordsofwonder_goo"", ""com.fanatee.noodles"", ""com.fillword.cross.wordmind.en"", ""com.fiogonia.yatzy"", ""com.fotoable.WordVillas"", ""com.fugo.wow"", ""com.funstudio.wordtravels"", ""com.histonegames.hicrosswordg"", ""com.histudiogames.games.wordshop"", ""com.histudiogames.wordtowng"", ""com.icogroup.apensar"", ""com.iscoolentertainment.snc"", ""com.iscoolentertainment.wordoxfree"", ""com.lazymasters.wordweekend"", ""com.lescapadou.ttsalphabet"", ""com.littleengine.wordpal"", ""com.lucky.yatzy.game.yahtzee.android"", ""com.mobilityware.zenwords"", ""com.peoplefun.wordchums"", ""com.peoplefun.wordcircle"", ""com.peoplefun.wordcross"", ""com.peoplefun.wordflowers"", ""com.peoplefun.wordsearch"", ""com.peoplefun.wordstacks"", ""com.peoplefun.wordvistas"", ""com.platinumplayer.word.addict"", ""com.playvalve.yatzy"", ""com.puzzle1studio.go.wordcalmcross"", ""com.puzzlegamelab.wordsearchpopg"", ""com.qiiwi.wordington"", ""com.randomlogicgames.crossword"", ""com.randomlogicgames.guesstheword"", ""com.randomlogicgames.wordsearch"", ""com.rlg.guesstheemoji"", ""com.scopely.fortunecookie"", ""com.seavus.yatzyultimate.droid"", ""com.sng.yatzy"", ""com.socketwire.wordfinder"", ""com.softtowelgames.cwp.android"", ""com.sonypicturestelevision.wordsoffortune"", ""com.supercosi.cosiyatzy"", ""com.theangrykraken.wordgame"", ""com.townsend.puzzlescapes"", ""com.vottzapps.wordle"", ""com.word.game.fun.puzzle.prison.escape.captain"", ""com.word.puzzle.game.connect"", ""com.wordgame.cross.android.en"", ""com.wordgame.puzzle.block.crush"", ""com.wordgame.words.connect"", ""com.wordloco.wordchallenge"", ""com.yatzy.blitz.dice.roll.game"", ""com.zengardenapps.yatzy"", ""com.zynga.crosswordswithfriends"", ""com.zynga.scramble"", ""com.zynga.scramble.paid"", ""com.zynga.words"", ""com.zynga.words3"", ""com.zynga.wwf2.free"", ""es.socialpoint.wordlife"", ""games.stellarplay.dicetown"", ""in.crossy.daily_crossword"", ""in.playsimple.tripcross"", ""in.playsimple.word_up"", ""in.playsimple.wordtrip"", ""loppipoppi.yatzy"", ""se.maginteractive.wordalot"", ""se.maginteractive.wordbrain"", ""se.maginteractive.wordbrain2"", ""se.maginteractive.worddomination"", ""se.maginteractive.wordzee"", ""uk.co.harmonic.puzzle.word.pro.android"", ""word.connect.wordcross.wordgame"", ""word.search.puzzle"", ""word.tower.puzzle""]"
592fc29cc10833a4760012c6,57d1b461ae2b57d903000027,[],"[""1098342019"", ""1106778762"", ""1114617409"", ""1216020610"", ""1260190370"", ""1271796899"", ""1385379152"", ""1407780576"", ""1442749804"", ""1444261450"", ""1446246286"", ""1460985516"", ""1462494195"", ""1465370843"", ""1466738593"", ""1467609353"", ""1472747600"", ""1483549696"", ""1488838275"", ""1489118195"", ""1494090673"", ""1500326655"", ""1500400013"", ""1522685808"", ""1527531742"", ""1533935003"", ""1552662612"", ""1579132658"", ""1588887190"", ""1605842465"", ""307466242"", ""366247306"", ""397227037"", ""398990729"", ""408188960"", ""418044512"", ""540946844"", ""6443889466"", ""6447060944"", ""6447336660"", ""6448104157"", ""6450412432"", ""6468650387"", ""6474989365"", ""6476258144"", ""6497716251"", ""6550913213"", ""6714467918"", ""671755288"", ""6742390458"", ""6744889695"", ""6752707915"", ""6755758608"", ""717754939"", ""727577974"", ""739121026"", ""773121479"", ""834107022""]"
