Publisher Account ID,Publisher Account Name,Publisher App ID,Publisher App Name,Publisher App Market ID,kalshi.com Ad Spend (7D),polymarket.us Ad spend (7D)
5bccfdfc02937a3064660fb7,Musi Inc.,5c708b8a680cf16c1f43417f,Musi - Simple Music Streaming,591560124,,$9757
5b2aad55ec47af23be0124fc,Grindr,5b2abc08c4867b46785c2206,Grindr - iOS,319881193,,$4850
64ee40f968ec2e001173d7bc,WeatherBug,64ef55a17dd0db95c81212b2,WeatherBug - Weather Forecast (iOS),281940292,$0,$1260
58adf6988e52ab4d320004d1,Microfun,628caa38209aa59215f0cde3,Cookie iOS,1623318294,,$620
5f73ab8ec84db80016b354bb,Audiomack Inc.,5be9c1194d3adf04414b15de,Audiomack | Download New Music,921765888,,$541
61e5debc97db9400178b0529,wortise,6a15d5d0e4af78f417c380ed,1364290292,1364290292,,$460
68b57bc85828fa59037e71c3,Ganko srl,68b584b971c490d59a8888cb,Sticker GO!,6475168012,,$455
655377ea6cdf5900118d252a,OZION TECH PTE LTD,6571994c0c33641a15cb39e4,KJV iOS,1357464684,,$447
69c343956cffa56c03badbb0,HONG KONG LAIYALING NETWORK TECHNOL,69df0c207067309f02ccd71c,NovaDrama,6761963411,,$268
6823ff6a9886e60011610e2b,JuTong,6a02c7e57e1f4431ec7469f8,zmodo,1020070571,,$253
607d46752ca90f00153876e8,Jungle Frog LDA,66851b564d981e89bb8afc00,Offline Games - No Wifi Games,6448104157,,$246
674d6cfd2f5be200113e4217,Chengdu Xishangmeishu technology Co,69b118dd3e8180318ca50a41,ReelMoment,6758488784,,$244
67a2e105ce727c001181897c,HK Wanhua Network Tech Co Limited,6a17a02627cc99a7734a3da8,HelloMovie,6762167119,,$242
649dcc52cc1081001190a228,Pogo Technologies Inc,65e8c639c8510816ad30c479,Pogo,1509325230,,$201
6112c412a0892b0017841de2,Nighp Software LLC,611338aa64fce70de219ccad,Baby Tracker,779656557,$0,$195
65de2ed395c34900110d36bb,SocialLoop LLC,65e890a009143409c22e2531,Eureka iOS,1466346433,,$195
5c657afed9e6e60012bab5d9,gamestudiopsv@gmail.com,67f3efcc9c3da54da0569e6b,6474685600,6474685600,$2,$189
61b39b8ac33ab1001726cb2d,Atlas Reality Inc.,61b39c1252b97858d0b18269,Atlas Earth - iOS PROD,1567636697,,$188
66a249877c55ea0011ab075c,QuestionAI,66d170ea20321015a24eb2b9,Question.AI,6449486871,,$186
59e4bb543f0fa9a20900afa3,TabTale LTD,68762a46e27c18d19b12edde,Sled Surfers iOS_CL,6744975195,,$177
67a2e105ce727c001181897c,HK Wanhua Network Tech Co Limited,69fbf4d68c67ff57b8feb235,ToSleepApp,6760815980,,$176
65f02b00af81650011344521,Scatterlab,65fbcd09d68917830d40a9d5,zeta iOS,1619030760,,$160
6596933a3d46f6001107151b,F-s Tech,68b041a9b9f046f7567c94b1,Live Score,6745244919,,$151
6833fc459886e6001161a3a1,CricClubs,683d34d4108251a8f7dcb041,CricClubs iOS,978682715,$0,$150
6570e082214fbe001194ec3e,ESPORT NEWCO SAS,657346f307a456fc834c3d84,Blitz - Win cash,1540981482,,$150
697702c10199fcad0554f955,Agile Quadrant Media Limited,69a287e7a55413945451237c,VibeShort: AI Comic Dramas,6758667154,,$143
5f064bf93191d60018f0fd5a,Lion Studios,69b9c1bd3c7d0f0d0e60dd14,Profile Perfecr,6759077038,,$142
68c149fb167d908cf140905e,厦门神桌信息科技有限公司,68c23acd4b9f993905ba9ea9,iScreen - Widgets & Wallpaper,1534704608,,$121
645db622ff6cc50014413271,WindNovel Team,64686dae6ac24ac5866284fd,KJV bible now iOS,6447543328,,$120
5b69051b3a5ab61db2c22189,株式会社GOODROID,69b7234c706d591163185603,Bus Rush Fever!,6759763476,,$120
5e4f394035080300173bd958,Kayac Inc.,695514410a361dd8d6a5f0db,Pistol Duel,6756477669,,$119
64ecb0b0006b5a0011e57f9a,Everyday Health Inc,6876aab761fad0cbc8863f20,WTE iOS,289560144,$0,$114
5e58760a8184be0017ff97ed,9GAG Limited,6668166c506818ca1981fde7,9GAG iOS,545551605,$1,$111
677d46d464147d001101c6c4,WONDERFUL IDEAS TECHNOLOGY LIMITED,69a2a1d83630b752386bad82,WalkStep iOS,6758755770,,$111
6647d1649965a7001157bc8a,Rotatelab,69b84c8e706d591163186e43,Cube Blast Puzzle Game,6757154335,,$104
69dca1d80e0891e59aa248e0,Equinox Enterprises Technology Lim,69e1abd8ba7fb8ae930375ad,StoryReel-ios,6761538521,,$101
619b548fc9c9c1001796f1f6,Gimica GmbH,67978c1bc1d0e427bfd009bc,JustPlay iOS,6444946155,,$96
613228382f10ad0017ef36ef,Elad Apps Pty. Ltd.,632047d7578f5271f895374c,Meme Soundboard,1541448769,,$84
65f4bfbd5e79b8001149efc5,Kitco,65f4c09c9fc751abe279e2e4,Gold Live! Gold Price Silver,1444886741,$0,$82
65e037799e0d93001113e55a,Rocketshield Browser Technology Lim,66753716f646af2fcfc11f8c,Blessedid,6503184925,,$81
