app_id,rtb_account_id,rtb_account_name,rtb_contact_name,rtb_connection_id,rtb_connection_name,list_type,conn_daily_spend,app_available_spend,available_network_spend,penetration_rate,estimated_daily_uplift
69eae084731c8519ff93da28,67055dc40f05bd0011e279ae,Exchange - RTB - Temu,Robert Korepta,674d58062be0a4da17375426,RTB - Temu Hybrid US,allow,137900.16,1707.1476,3455084.39,0.000494,68.12
69eae084731c8519ff93da28,67055dc40f05bd0011e279ae,Exchange - RTB - Temu,Robert Korepta,67690a997f53d01c71ab4768,RTB - Temu Hybrid EU,allow,122567.69,1707.1476,3455084.39,0.000494,60.55
69eae084731c8519ff93da28,66e46b7a0f05bd0011e180e6,Exchange - RTB - Albatross,Robert Korepta,696a8b40850b5555fd0cb734,Albatross Americas - Fullscreen Display EP Test,allow,109014.84,1707.1476,3455084.39,0.000494,53.85
69eae084731c8519ff93da28,67055dc40f05bd0011e279ae,Exchange - RTB - Temu,Robert Korepta,673598849d6a7bcf892e103c,RTB - Temu Hybrid Glo,allow,106982.9,1707.1476,3455084.39,0.000494,52.85
6286157287862c977f37336a,5bc0e10e25c7d7796ebe8fc0,Exchange - RTB - Moloco,Francis Torralba,6488abee95097b18bf6f12b6,RTB - Moloco Video US EP (iOS Click Settings),deny,156590.11,861.2196,2669743.89,0.000323,50.58
6756d6829d0f2cfb524eed56,67055dc40f05bd0011e279ae,Exchange - RTB - Temu,Robert Korepta,674d58062be0a4da17375426,RTB - Temu Hybrid US,allow,137900.16,1157.481,3165067.46,0.000366,50.47
69eae084731c8519ff93da28,67055dc40f05bd0011e279ae,Exchange - RTB - Temu,Robert Korepta,6780bd430510f6af103e8a71,RTB - Temu Hybrid US iOS,allow,99616.25,1707.1476,3455084.39,0.000494,49.21
6756d6829d0f2cfb524eed56,67055dc40f05bd0011e279ae,Exchange - RTB - Temu,Robert Korepta,67690a997f53d01c71ab4768,RTB - Temu Hybrid EU,allow,122567.69,1157.481,3165067.46,0.000366,44.86
6286157287862c977f37336a,67055dc40f05bd0011e279ae,Exchange - RTB - Temu,Robert Korepta,674d58062be0a4da17375426,RTB - Temu Hybrid US,allow,137900.16,861.2196,2669743.89,0.000323,44.54
68b6b11a0e4ccdf0435abc0a,67055dc40f05bd0011e279ae,Exchange - RTB - Temu,Robert Korepta,674d58062be0a4da17375426,RTB - Temu Hybrid US,allow,137900.16,1099.0879,3455084.39,0.000318,43.85
6284a850442dce6cae1615e8,67055dc40f05bd0011e279ae,Exchange - RTB - Temu,Robert Korepta,674d58062be0a4da17375426,RTB - Temu Hybrid US,allow,137900.16,1030.6906,3383637.17,0.000305,42.06
