account_id,account_name,total_spend_7d,daily_spend
606c7bac7a37680015801ad8,jiayou,1377475.8307777178,196782.26153967396
5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,1162785.2702609142,166112.1814658449
622b9915ac4bf1001715b790,Activision Blizzard Media (King),852627.6678519385,121803.95255027692
561e8d936b8d90f61a000455,Mobility Ware,847077.9351802096,121011.1335971728
57d1b461ae2b57d903000027,Easybrain Ltd,642438.9245070894,91776.98921529848
5c05196699e4374b87bda3b9,Tripledot Studios,565652.2344975771,80807.46207108244
56c3a378adccd1cb7e00000a,Zynga,422322.028599422,60331.718371346
6297c4bc012073001b3df035,Yandex Inc.,382673.69982313167,54667.67140330452
575d1c861295e1447c0000e5,snaptube,380835.75235152664,54405.10747878952
650360eb0950ee00114dc484,OfferUp,340388.7460029562,48626.96371470803
5fc671cbba624b0015a61bf1,Saygames LTD,334708.7695602628,47815.538508608974
68799f38babc2000110fe539,Duolingo,333946.31311897293,47706.61615985328
685efaf2892f9d0011d7b87f,The Weather Company,323335.2543222028,46190.75061745755
59baf611f2287a750a0034c2,CrazyMaple Studio,312177.80720044725,44596.829600063895
56d55c72562b9c353800000d,Voodoo,281362.13775210583,40194.59110744369
568b8cb3bb2089a80600000a,Playsimple Games,276237.88751486194,39462.55535926599
5b2aad55ec47af23be0124fc,Grindr,260006.3629619694,37143.7661374242
579643ec6c081adf5c00004c,Microsoft Casual Games,243007.73311750393,34715.390445357705
67b5bff30471850011443643,HURELAX PTE LTD,242197.46557733862,34599.6379396198
561e8d976b8d90f61a0045d7,"PeopleFun, Inc.",238690.09500145825,34098.585000208324
684c3af4806ba9001147f9cd,Livesport sro,238037.0332965953,34005.290470942185
5f064bf93191d60018f0fd5a,Lion Studios,230663.4043253833,32951.91490362619
67a5bd8b7e5a1b00114a860e,POLIGON PTE LTD,218697.32130694593,31242.474472420847
6021599b8b3e5600159fcc76,HITAPPS GAMES LTD,208437.60682026442,29776.80097432349
67c01767cc8ae200116e5d00,Skywork AI PTELTD,207434.7193643172,29633.5313377596
634d301fa3774b001b7c0dbc,ToGather Fun Limited,207182.16008792145,29597.451441131638
