pub_account,pub_account_id,region,am_name,pub_app,pub_app_id,pub_market_id,pub_daily_spend,level,block_type,block_value,adv_title,network_share,adv_daily_spend,est_uplift_daily
Duolingo,68799f38babc2000110fe539,Americas,Matthew Hong,,,,45204.0952,account,domain,temu.com,,0.20592908,919603.4227,9308.8376
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,domain,grand.gs,,0.02526163,112809.1528,3572.3849
Vinted,670cfa366f113e00119a799f,EMEA,Dumitru Cazacu,Vinted IOS,6716548809f72ec0f50798ed,632064380,16571.4791,app,domain,temu.com,,0.20592908,919603.4227,3412.5494
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,domain,king.com,,0.02381471,106347.7328,2078.8428
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,king.com,,0.02381471,106347.7328,1994.8428
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,market id,6499209744,Magic Sort!,0.0129945,58028.6348,1837.6224
Bertheussen IT,561e8d936b8d90f61a0014d2,EMEA,Dumitru Cazacu,,,,8652.7953,account,domain,temu.com,,0.20592908,919603.4227,1781.8621
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,domain,dreamgames.com,,0.01897454,84733.2876,1656.3323
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,553834731,Candy Crush Saga,0.01821655,81348.4256,1590.1664
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,market id,6752672568,Block Out! - Color Sort Puzzle,0.01050597,46915.772,1485.7057
HURELAX PTE LTD,67b5bff30471850011443643,APAC,Sunton Sun,,,,54667.7897,account,domain,grand.gs,,0.02526163,112809.1528,1380.9977
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,domain,crowncoinscasino.com,,0.00576772,25756.5274,1243.0088
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,app,domain,lessmore.games,,0.01720383,76825.9753,1194.7328
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,domain,betboom.ru,,0.00544072,24296.2416,1172.5355
Rovio,561e8d946b8d90f61a002087,EMEA,Dina Eraksan,Angry Birds 2 iOS,54c63cb2a684cd593e000126,880047117,4596.3811,app,domain,temu.com,,0.20592908,919603.4227,946.5285
Chesscom LLC,6863fe9df000940011f80bcb,Americas,Lisa Tolentino,,,,4584.3269,account,domain,temu.com,,0.20592908,919603.4227,944.0462
Vinted,670cfa366f113e00119a799f,EMEA,Dumitru Cazacu,Vinted Android,671654af58450cca797bb25d,fr.vinted,4170.9759,app,domain,temu.com,,0.20592908,919603.4227,858.9252
Vinted,670cfa366f113e00119a799f,EMEA,Dumitru Cazacu,,,,20742.455,account,market id,com.einnovation.temu,Temu: Shop Like a Billionaire,0.04004889,178843.6136,830.7124
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong,653a33af7b1a3c2b6f2b138a,6468921495,44343.6723,app,market id,553834731,Candy Crush Saga,0.01821655,81348.4256,807.7889
GMOTownWiFi,609cb17937f3bf001593dd55,APAC,Nam Trinh,,,,3855.1789,account,domain,temu.com,,0.20592908,919603.4227,793.8934
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,1606549505,Royal Kingdom,0.00887636,39638.5406,774.8383
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,market id,6468921495,Vita Mahjong,0.00356895,15937.6227,769.1489
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong,653a33af7b1a3c2b6f2b138a,6468921495,44343.6723,app,domain,lessmore.games,,0.01720383,76825.9753,762.8811
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,freecash.com,,0.00892978,39877.102,748.0042
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,market id,1673567402,Freecash - Get Paid Real Money,0.00758307,33863.2073,734.5424
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,snap.com,,0.01348705,60228.1823,724.2723
HURELAX PTE LTD,67b5bff30471850011443643,APAC,Sunton Sun,,,,54667.7897,account,market id,6499209744,Magic Sort!,0.0129945,58028.6348,710.3804
LINE Digital Frontier,64131058280ea30014b0ed99,APAC,Ives Cui,,,,3389.366,account,domain,temu.com,,0.20592908,919603.4227,697.969
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,domain,global.e.mi.com,,0.00717646,32047.4217,695.1553
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,domain,cloudfront.net,,0.00312299,13946.1054,673.0384
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,domain,googll.store,,0.0031123,13898.3949,670.7359
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,market id,1673567402,Freecash - Get Paid Real Money,0.00758307,33863.2073,635.1971
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,1482155847,Royal Match,0.00709533,31685.1121,619.3679
Zynga,56c3a378adccd1cb7e00000a,Americas,Lisa Tolentino,,,,57366.1629,account,market id,6752672568,Block Out! - Color Sort Puzzle,0.01050597,46915.772,602.6869
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,market id,1462060332,DraftKings Casino - Real Money,0.00425673,19009.0063,601.9679
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong,653a33af7b1a3c2b6f2b138a,6468921495,44343.6723,app,market id,6748397500,Arrows – Puzzle Escape,0.01329553,59372.9417,589.5726
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,amazon.com,,0.00688676,30753.7486,576.8707
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,domain,vitastudio.ai,,0.00407584,18201.2006,576.3867
Mobility Ware,561e8d936b8d90f61a000455,Americas,Natalie Kenyon,,,,99938.5051,account,market id,6450413462,CrownCoins Casino,0.00575744,25710.6289,575.3904
HURELAX PTE LTD,67b5bff30471850011443643,APAC,Sunton Sun,,,,54667.7897,account,market id,6752672568,Block Out! - Color Sort Puzzle,0.01050597,46915.772,574.3379
MAG Interactive,561e8d936b8d90f61a001260,EMEA,Hadil Salameh,,,,2784.4307,account,domain,temu.com,,0.20592908,919603.4227,573.3952
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,market id,6450413462,CrownCoins Casino,0.00575744,25710.6289,557.701
"KAUCHE, Inc",679afd4877bd1c00117aaefd,APAC,Nam Trinh,,,,2481.7669,account,domain,temu.com,,0.20592908,919603.4227,511.068
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,apple.com,,0.00950414,42441.9729,510.3848
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,market id,6468921495,Vita Mahjong,0.00356895,15937.6227,504.7048
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,6450413462,CrownCoins Casino,0.00575744,25710.6289,502.5811
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,domain,hungrystudio.com,,0.00353479,15785.0485,499.8732
Zynga,56c3a378adccd1cb7e00000a,Americas,Lisa Tolentino,Toon Blast,62684259b7fb3d4fd5c5fb13,net.peakgames.toonblast,2384.5116,app,domain,temu.com,,0.20592908,919603.4227,491.0403
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,domain,casino.draftkings.com,,0.00501369,22389.2849,485.6562
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,crowncoinscasino.com,,0.00576772,25756.5274,483.1342
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,market id,6450413462,CrownCoins Casino,0.00575744,25710.6289,482.2732
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,freecash.com,,0.00892978,39877.102,479.541
WeWard,5dcc0df6a4305a00173b9cf8,EMEA,Tori Edwards,,,,2308.353,account,domain,temu.com,,0.20592908,919603.4227,475.357
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,com.king.candycrushsaga,Candy Crush Saga,0.00531377,23729.3467,463.8517
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,domain,hplconsultingltd.com,,0.00214052,9558.7692,461.3058
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,1621328561,MONOPOLY GO!,0.00522307,23324.2981,455.934
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,betboom.ru,,0.00544072,24296.2416,455.7425
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,market id,6747492600,Mahjong Blast,0.0020655,9223.7685,445.1386
Tripledot Studios,5c05196699e4374b87bda3b9,EMEA,Tori Edwards,,,,61597.6411,account,domain,global.e.mi.com,,0.00717646,32047.4217,442.0529
Sofa IT doo,67b5b2c077bd1c00117b9adc,EMEA,Dumitru Cazacu,,,,9215.4959,account,domain,tiktok.com,,0.04722481,210888.5988,435.2
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,,,,17169.5169,account,domain,grand.gs,,0.02526163,112809.1528,433.73
Mobility Ware,561e8d936b8d90f61a000455,Americas,Natalie Kenyon,,,,99938.5051,account,market id,6741076536,Modo Casino Slots & Games,0.00431168,19254.3628,430.9026
Skywork AI PTELTD,67c01767cc8ae200116e5d00,APAC,Ronald Long,,,,79135.9541,account,domain,betboom.ru,,0.00544072,24296.2416,430.5564
Duolingo,68799f38babc2000110fe539,Americas,Matthew Hong,,,,45204.0952,account,domain,apple.com,,0.00950414,42441.9729,429.6259
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,domain,tango.me,,0.00196116,8757.8192,422.6519
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,casino.draftkings.com,,0.00501369,22389.2849,419.9723
Lessmore UG (haftungsbeschränkt),6107c3b4abaef100175b9029,EMEA,Tori Edwards,,,,72656.859,account,market id,6450413462,CrownCoins Casino,0.00575744,25710.6289,418.3179
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,market id,6741076536,Modo Casino Slots & Games,0.00431168,19254.3628,417.6552
kakaopay,69db7b997dbb2c94758de027,APAC,Ives Cui,,,,2024.7305,account,domain,temu.com,,0.20592908,919603.4227,416.9509
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,market id,1462060332,DraftKings Casino - Real Money,0.00425673,19009.0063,412.3331
Duolingo,68799f38babc2000110fe539,Americas,Matthew Hong,,,,45204.0952,account,domain,freecash.com,,0.00892978,39877.102,403.6626
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,aliexpress.com,,0.0047205,21080.0194,395.4135
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,global.e.mi.com,,0.00717646,32047.4217,385.3854
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,6741076536,Modo Casino Slots & Games,0.00431168,19254.3628,376.3766
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,domain,oakevergames.com,,0.00265429,11853.0704,375.3572
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,scopely.com,,0.00694354,31007.3029,372.8775
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,1462060332,DraftKings Casino - Real Money,0.00425673,19009.0063,371.5804
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,6471045672,Tasty Travels: Merge Game,0.0042289,18884.7029,369.1506
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,modo.us,,0.00431248,19257.96,361.2358
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,market id,6741076536,Modo Casino Slots & Games,0.00431168,19254.3628,361.1683
Jungle Frog LDA,607d46752ca90f00153876e8,EMEA,Louis Wallworth,,,,8963.802,account,market id,com.einnovation.temu,Temu: Shop Like a Billionaire,0.04004889,178843.6136,358.9904
Bigo,63f725cfaa034900149db38c,APAC,Harper Zhang,,,,14349.4671,account,market id,com.zhiliaoapp.musically,"TikTok - Videos, Shop & LIVE",0.02451196,109461.3688,351.7335
Bertheussen IT,561e8d936b8d90f61a0014d2,EMEA,Dumitru Cazacu,,,,8652.7953,account,market id,com.einnovation.temu,Temu: Shop Like a Billionaire,0.04004889,178843.6136,346.5349
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,1094591345,Pokémon GO,0.00396538,17707.9204,346.1473
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,market id,6648798962,Polymarket,0.00406895,18170.4536,340.8366
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,market id,1375031369,DraftKings: Sports & Casino,0.00349025,15586.1815,338.087
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,market id,1523280942,BETBOOM - ставки на спорт,0.00344541,15385.9362,333.7434
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,market id,1094591345,Pokémon GO,0.00396538,17707.9204,332.1605
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,productmadness.com,,0.0039639,17701.3183,332.0367
Mobility Ware,561e8d936b8d90f61a000455,Americas,Natalie Kenyon,,,,99938.5051,account,domain,papayagaming.com,,0.00332152,14832.6807,331.9476
Duolingo,68799f38babc2000110fe539,Americas,Matthew Hong,,,,45204.0952,account,domain,global.e.mi.com,,0.00717646,32047.4217,324.4053
Rovio,561e8d946b8d90f61a002087,EMEA,Dina Eraksan,Angry Birds 2 Android,54c63cf4a684cd593e000128,com.rovio.baba,1568.5224,app,domain,temu.com,,0.20592908,919603.4227,323.0044
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,domain,papayagaming.com,,0.00332152,14832.6807,321.7425
WEBTOON,6108e61a892d1200173b458c,APAC,Ives Cui,,,,1554.705,account,domain,temu.com,,0.20592908,919603.4227,320.159
Mobility Ware,561e8d936b8d90f61a000455,Americas,Natalie Kenyon,,,,99938.5051,account,domain,cloudfront.net,,0.00312299,13946.1054,312.1066
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,crowncoinscasino.com,,0.00576772,25756.5274,309.7344
Lessmore UG (haftungsbeschränkt),6107c3b4abaef100175b9029,EMEA,Tori Edwards,,,,72656.859,account,market id,1462060332,DraftKings Casino - Real Money,0.00425673,19009.0063,309.2809
MOOVIT APP GLOBAL LTD,61c991a5fe4ec600172e5e08,EMEA,Beth Taylor-Lowen,Moovit Android,61c9994ec3aa9ecb8f64d131,com.tranzmate,1495.6836,app,domain,temu.com,,0.20592908,919603.4227,308.0047
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,domain,draftkings.com,,0.00317627,14184.0704,307.6732
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,1375031369,DraftKings: Sports & Casino,0.00349025,15586.1815,304.6724
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,market id,1623318294,Gossip Harbor®: Merge & Story,0.00313141,13983.703,303.3269
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,domain,cloudfront.net,,0.00312299,13946.1054,302.5114
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Tile Trip Android,6642cedde0cbed6459a1b75e,com.oakever.tiletrip,17574.8459,app,domain,lessmore.games,,0.01720383,76825.9753,302.3547
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,1523280942,BETBOOM - ставки на спорт,0.00344541,15385.9362,300.7581
Lessmore UG (haftungsbeschränkt),6107c3b4abaef100175b9029,EMEA,Tori Edwards,,,,72656.859,account,market id,6648798962,Polymarket,0.00406895,18170.4536,295.6375
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,market id,1375031369,DraftKings: Sports & Casino,0.00349025,15586.1815,292.3615
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,betboom.ru,,0.00544072,24296.2416,292.1738
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,market id,6747492600,Mahjong Blast,0.0020655,9223.7685,292.0938
Zynga,56c3a378adccd1cb7e00000a,Americas,Lisa Tolentino,Toy Blast,62684160e2a0ef078b8fc737,net.peakgames.amy,1409.5637,app,domain,temu.com,,0.20592908,919603.4227,290.2702
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,market id,1523280942,BETBOOM - ставки на спорт,0.00344541,15385.9362,288.6053
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,polymarket.com,,0.00341793,15263.2003,286.3031
The Weather Company,685efaf2892f9d0011d7b87f,Americas,Lisa Tolentino,,,,31265.5923,account,domain,freecash.com,,0.00892978,39877.102,279.1948
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,domain,mico.com,,0.00129323,5775.1079,278.7064
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,papayagaming.com,,0.00332152,14832.6807,278.2275
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,market id,com.sgiggle.production,"Tango: Live Stream, Video Chat",0.00196154,8759.5259,277.3924
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,domain,tango.me,,0.00196116,8757.8192,277.3383
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,1623318294,Gossip Harbor®: Merge & Story,0.00313141,13983.703,273.3478
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,market id,6504421808,Car Match - Traffic Puzzle,0.00190983,8528.5757,270.0788
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,casino.draftkings.com,,0.00501369,22389.2849,269.2417
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,draftkings.com,,0.00317627,14184.0704,266.0611
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,app,market id,com.ecffri.arrows,Arrows – Puzzle Escape,0.003789,16920.2736,263.1298
Duolingo,68799f38babc2000110fe539,Americas,Matthew Hong,,,,45204.0952,account,domain,crowncoinscasino.com,,0.00576772,25756.5274,260.7247
Lessmore UG (haftungsbeschränkt),6107c3b4abaef100175b9029,EMEA,Tori Edwards,,,,72656.859,account,market id,1375031369,DraftKings: Sports & Casino,0.00349025,15586.1815,253.5908
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,aliexpress.com,,0.0047205,21080.0194,253.4972
Lessmore UG (haftungsbeschränkt),6107c3b4abaef100175b9029,EMEA,Tori Edwards,,,,72656.859,account,market id,1523280942,BETBOOM - ставки на спорт,0.00344541,15385.9362,250.3327
Skywork AI PTELTD,67c01767cc8ae200116e5d00,APAC,Ronald Long,,,,79135.9541,account,domain,cloudfront.net,,0.00312299,13946.1054,247.1405
Skywork AI PTELTD,67c01767cc8ae200116e5d00,APAC,Ronald Long,,,,79135.9541,account,domain,googll.store,,0.0031123,13898.3949,246.295
Duolingo,68799f38babc2000110fe539,Americas,Matthew Hong,,,,45204.0952,account,domain,betboom.ru,,0.00544072,24296.2416,245.9427
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Vita Mahjong Android,659e1333a5c8c578aac410f0,com.vitastudio.mahjong,69445.7427,app,domain,hungrystudio.com,,0.00353479,15785.0485,245.4758
WONDERFUL TYCOON LIMITED,683bc1bb4c15ca0011ad2b91,APAC,Sunton Sun,,,,9607.5382,account,domain,grand.gs,,0.02526163,112809.1528,242.7021
OfferUp,650360eb0950ee00114dc484,Americas,Kasey Geist,,,,42039.6321,account,market id,6450413462,CrownCoins Casino,0.00575744,25710.6289,242.0409
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,domain,betty.ca,,0.00276155,12332.0481,241.0619
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,market id,1632713844,Kalshi: Trade Events & Sports,0.00285912,12767.7779,239.4946
Lion Studios,5f064bf93191d60018f0fd5a,Americas,Matthew Hong,,,,17974.8562,account,market id,6748397500,Arrows – Puzzle Escape,0.01329553,59372.9417,238.9852
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,domain,playrix.com,,0.00272159,12153.6305,237.5743
HITAPPS GAMES LTD,6021599b8b3e5600159fcc76,EMEA,Beth Taylor-Lowen,,,,17590.0431,account,market id,com.snapchat.android,Snapchat,0.01348705,60228.1823,237.2377
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,market id,1620306376,Jackpot City Real Money Casino,0.00166889,7452.6558,236.007
Easybrain Ltd,57d1b461ae2b57d903000027,EMEA,Dina Eraksan,,,,96866.0668,account,domain,bigo.tv,,0.00241866,10800.8272,234.2857
Lion Studios,5f064bf93191d60018f0fd5a,Americas,Matthew Hong,,,,17974.8562,account,market id,6499209744,Magic Sort!,0.0129945,58028.6348,233.5742
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,850417475,Candy Crush Soda Saga,0.0026618,11886.6075,232.3546
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,betty.ca,,0.00276155,12332.0481,231.3213
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,market id,6748155184,"Courtyard: TCG, Watches, Cards",0.00264087,11793.1579,230.5279
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Blast-ios,624d1d920ea4f6b17766ae63,1617391485,83765.1469,app,domain,zynga.com,,0.00274203,12244.8929,229.6865
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Arrows GO! Android,69845ea1e6f73fe2b5840739,com.oakever.arrows,13278.6625,app,domain,lessmore.games,,0.01720383,76825.9753,228.4439
SmartNews,67d0848db62d6b0011ccb35e,Americas,Lisa Tolentino,,,,17169.5169,account,market id,6748397500,Arrows – Puzzle Escape,0.01329553,59372.9417,228.2778
Lessmore UG (haftungsbeschränkt),6107c3b4abaef100175b9029,EMEA,Tori Edwards,,,,72656.859,account,domain,cloudfront.net,,0.00312299,13946.1054,226.9064
Duolingo,68799f38babc2000110fe539,Americas,Matthew Hong,,,,45204.0952,account,domain,casino.draftkings.com,,0.00501369,22389.2849,226.6392
The Weather Company,685efaf2892f9d0011d7b87f,Americas,Lisa Tolentino,,,,31265.5923,account,domain,global.e.mi.com,,0.00717646,32047.4217,224.3762
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,,,,141415.4369,account,market id,6743212841,Betty Casino: Real Money Slots,0.00158284,7068.3945,223.8385
HURELAX PTE LTD,67b5bff30471850011443643,APAC,Sunton Sun,,,,54667.7897,account,domain,vitastudio.ai,,0.00407584,18201.2006,222.8172
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,Tile Trip iOS,6642cf9be0cbed6459a1b767,6498883328,12470.8511,app,domain,lessmore.games,,0.01720383,76825.9753,214.5464
Duolingo,68799f38babc2000110fe539,Americas,Matthew Hong,,,,45204.0952,account,domain,aliexpress.com,,0.0047205,21080.0194,213.386
jiayou,606c7bac7a37680015801ad8,APAC,Sunton Sun,Block Juggle—GP,633549fb3901c096a37b2893,com.block.juggle,53701.3297,app,domain,productmadness.com,,0.0039639,17701.3183,212.8667
OAKEVER GAMES PTE LTD,5b975fcedc73276356309362,APAC,Aria Gao,,,,215511.1818,account,market id,6758326278,Amaze GO!,0.00098735,4409.1221,212.784
Vinted,670cfa366f113e00119a799f,EMEA,Dumitru Cazacu,,,,20742.455,account,market id,1641486558,Temu: Shop Like a Billionaire,0.01024118,45733.3513,212.4273
Activision Blizzard Media (King),622b9915ac4bf1001715b790,Americas,Kasey Geist,,,,87292.3779,account,domain,kwai.com,,0.0023901,10673.2944,208.6373
