match_key,rtb_account_id,creative_id,daily_spend
561e8d936b8d90f61a000d2f_6837123,561e8d936b8d90f61a000d2f,6837123,1188.4520802629797
5bc0e10e25c7d7796ebe8fc0_Kvt2ZY1BEjJzx6C1:i:AizgxCcAZE3lrlq6,5bc0e10e25c7d7796ebe8fc0,Kvt2ZY1BEjJzx6C1:i:AizgxCcAZE3lrlq6,2036.278700000002
5bc0e10e25c7d7796ebe8fc0_Lpjgv95lJqaoElEX:a:N3fyZ1HvPyQH1da2,5bc0e10e25c7d7796ebe8fc0,Lpjgv95lJqaoElEX:a:N3fyZ1HvPyQH1da2,1040.922599999999
5bc0e10e25c7d7796ebe8fc0_Lpjgv95lJqaoElEX:i:FcyNz2FkyPyv3eXK,5bc0e10e25c7d7796ebe8fc0,Lpjgv95lJqaoElEX:i:FcyNz2FkyPyv3eXK,1286.4232714285713
5bc0e10e25c7d7796ebe8fc0_TVeGrWcueXIQ4xyF:i:Ji1vyLJz7d1vhOvF,5bc0e10e25c7d7796ebe8fc0,TVeGrWcueXIQ4xyF:i:Ji1vyLJz7d1vhOvF,1239.7468142857135
5bc0e10e25c7d7796ebe8fc0_TVeGrWcueXIQ4xyF:i:jYV4kez1Zol4bNXs,5bc0e10e25c7d7796ebe8fc0,TVeGrWcueXIQ4xyF:i:jYV4kez1Zol4bNXs,1278.7574285714288
5bc0e10e25c7d7796ebe8fc0_Wsjk4Dkhy41SYmzY:i:a9EbT7XoqYiaMKLf,5bc0e10e25c7d7796ebe8fc0,Wsjk4Dkhy41SYmzY:i:a9EbT7XoqYiaMKLf,1015.1830857142864
5bc0e10e25c7d7796ebe8fc0_Wsjk4Dkhy41SYmzY:i:yPFvBnpo1Nja6spt,5bc0e10e25c7d7796ebe8fc0,Wsjk4Dkhy41SYmzY:i:yPFvBnpo1Nja6spt,1482.6598571428565
5bc0e10e25c7d7796ebe8fc0_fH0s5ileTls1I5dI:a:pTIr24IMzzmycsax,5bc0e10e25c7d7796ebe8fc0,fH0s5ileTls1I5dI:a:pTIr24IMzzmycsax,1400.8380714285722
5bc0e10e25c7d7796ebe8fc0_fbC75FWzrDUJg0CS:i:n5w9D9QQzvuFd4io,5bc0e10e25c7d7796ebe8fc0,fbC75FWzrDUJg0CS:i:n5w9D9QQzvuFd4io,1768.9931571428576
5bc0e10e25c7d7796ebe8fc0_jm1vY29iBwA7NqQ4:a:EqjWeX2s6XLMtdDD,5bc0e10e25c7d7796ebe8fc0,jm1vY29iBwA7NqQ4:a:EqjWeX2s6XLMtdDD,2440.547185714287
