publisher_account_id,publisher_account_name,publisher_daily_spend,blocked_rtb_account_id,blocked_rtb_account_name,rtb_account_daily_spend,rtb_pct_of_network,potential_uplift
670cfa366f113e00119a799f,Vinted,26606.13,5bc0e10e25c7d7796ebe8fc0,Exchange - RTB - Moloco,446582.78,10.34,2750.08
606c7bac7a37680015801ad8,jiayou,194722.19,65b7e5c3d5f847001169024b,Exchange - RTB - Kwai,32536.79,0.75,1466.4
5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,162928.38,6526e0feb1392d001124df7d,Exchange - RTB - Topon,36698.8,0.85,1383.92
67d0848db62d6b0011ccb35e,SmartNews,13054.89,5bc0e10e25c7d7796ebe8fc0,Exchange - RTB - Moloco,446582.78,10.34,1349.39
606c7bac7a37680015801ad8,jiayou,194722.19,561e8d976b8d90f61a004143,Exchange  - Programmatic,26612.25,0.62,1199.39
68799f38babc2000110fe539,Duolingo,48704.33,60bdc983a982ad0017edb6f7,Exchange - RTB - Mintegral,81317.9,1.88,916.68
575d1c861295e1447c0000e5,snaptube,52678.89,5fffe796e4fa2100156e364a,Exchange - RTB - Opera,74978.06,1.74,914.18
68799f38babc2000110fe539,Duolingo,48704.33,618a29d9ef3f360017e9acca,Exchange - RTB - Bidease,79879.34,1.85,900.46
579643ec6c081adf5c00004c,Microsoft Casual Games,34754.68,5caf77f1e04ca66a2d4bcd7c,Exchange - RTB - ByteDance,108308.6,2.51,871.24
579643ec6c081adf5c00004c,Microsoft Casual Games,34754.68,5e56893e6c71d40018de3ad1,Exchange - RTB - Webeye,83980.95,1.94,675.55
579643ec6c081adf5c00004c,Microsoft Casual Games,34754.68,60bdc983a982ad0017edb6f7,Exchange - RTB - Mintegral,81317.9,1.88,654.13
579643ec6c081adf5c00004c,Microsoft Casual Games,34754.68,618a29d9ef3f360017e9acca,Exchange - RTB - Bidease,79879.34,1.85,642.55
579643ec6c081adf5c00004c,Microsoft Casual Games,34754.68,5fffe796e4fa2100156e364a,Exchange - RTB - Opera,74978.06,1.74,603.13
658a2fc2ab2b4800112923f1,HANGZHOU JF SOFTWARE CO LTD,23878.01,5caf77f1e04ca66a2d4bcd7c,Exchange - RTB - ByteDance,108308.6,2.51,598.58
6107c3b4abaef100175b9029,Lessmore UG (haftungsbeschränkt),27869.85,5e56893e6c71d40018de3ad1,Exchange - RTB - Webeye,83980.95,1.94,541.72
579643ec6c081adf5c00004c,Microsoft Casual Games,34754.68,6135c233b2f85d001747c3d2,Exchange - RTB - Bigodsp,62452.94,1.45,502.38
66f36da16f113e0011999ff8,Meitu China,19631.97,5caf77f1e04ca66a2d4bcd7c,Exchange - RTB - ByteDance,108308.6,2.51,492.14
56c3a378adccd1cb7e00000a,Zynga,59579.42,65660afecebd4a0011dcc2ac,Exchange - RTB - Start.io,34683.05,0.8,478.27
619b548fc9c9c1001796f1f6,Gimica GmbH,25531.4,618a29d9ef3f360017e9acca,Exchange - RTB - Bidease,79879.34,1.85,472.03
579643ec6c081adf5c00004c,Microsoft Casual Games,34754.68,5e89fcef428f870016d9e994,Exchange - RTB - Yeahmobi,57497.08,1.33,462.51
5efeed113191d60018f0f4e0,LY Corporation,16775.45,5caf77f1e04ca66a2d4bcd7c,Exchange - RTB - ByteDance,108308.6,2.51,420.53
56c3a378adccd1cb7e00000a,Zynga,59579.42,5fd73c61617f68000fb6584f,Exchange - RTB - Kayzen,29248.29,0.68,403.33
64131058280ea30014b0ed99,LINE Digital Frontier,2467.33,67055dc40f05bd0011e279ae,Exchange - RTB - Temu,687660.53,15.92,392.7
59bbfb5389df7b9d3b000840,Trebel Music,2463.24,67055dc40f05bd0011e279ae,Exchange - RTB - Temu,687660.53,15.92,392.05
68799f38babc2000110fe539,Duolingo,48704.33,65660afecebd4a0011dcc2ac,Exchange - RTB - Start.io,34683.05,0.8,390.97
653b61bc1f514a0011d4160d,fluct,2405.84,67055dc40f05bd0011e279ae,Exchange - RTB - Temu,687660.53,15.92,382.92
68799f38babc2000110fe539,Duolingo,48704.33,65b7e5c3d5f847001169024b,Exchange - RTB - Kwai,32536.79,0.75,366.78
