app_id,app_name,account_id,account_name,app_daily_spend,blocked_match_key,creative_daily_spend,creative_pct_of_network,potential_uplift
6642cf9be0cbed6459a1b767,Tile Trip iOS,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,11751.27,5f6413c9612b1a0015099993_1406460,44360.43,4.24,498.15
653a33af7b1a3c2b6f2b138a,Vita Mahjong,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,27968.95,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_WRYyu,8142.91,0.78,217.64
659e1333a5c8c578aac410f0,Vita Mahjong Android,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,58278.24,5f6413c9612b1a0015099993_1272483,2846.65,0.27,158.53
6642cedde0cbed6459a1b75e,Tile Trip Android,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,24424.57,5f6413c9612b1a0015099993_780399,4525.01,0.43,105.62
633549fb3901c096a37b2893,Block Juggle—GP,606c7bac7a37680015801ad8,jiayou,69226.02,6135c233b2f85d001747c3d2_acc3d201d29d602c5fe18f4d4768eb4f_11,1447.49,0.14,95.76
6642cf9be0cbed6459a1b767,Tile Trip iOS,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,11751.27,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20260320_c6izQ,8130.12,0.78,91.3
659e1333a5c8c578aac410f0,Vita Mahjong Android,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,58278.24,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250620_7IzWH,1575.52,0.15,87.74
633549fb3901c096a37b2893,Block Juggle—GP,606c7bac7a37680015801ad8,jiayou,69226.02,5f6413c9612b1a0015099993_1331825,1248.67,0.12,82.6
633549fb3901c096a37b2893,Block Juggle—GP,606c7bac7a37680015801ad8,jiayou,69226.02,5f6413c9612b1a0015099993_545150,1108.91,0.11,73.36
641bbdc51e0260737618e232,ZenWord iOS,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,6673.33,5f6413c9612b1a0015099993_821039,7389.27,0.71,47.12
653a33af7b1a3c2b6f2b138a,Vita Mahjong,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,27968.95,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250620_eKxVA,1043.91,0.1,27.9
6642cf9be0cbed6459a1b767,Tile Trip iOS,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,11751.27,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250925_puQqY,2426.4,0.23,27.25
62684259b7fb3d4fd5c5fb13,Toon Blast,56c3a378adccd1cb7e00000a,Zynga,2145.53,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_PaaiY,8199.41,0.78,16.81
5a905921d21df82a03002a6b,Cookie Jam Match 3,58910f6a5f5e338431000675,Jamcity INC.,1725.72,5f6413c9612b1a0015099993_893572,8800.33,0.84,14.51
6642cf9be0cbed6459a1b767,Tile Trip iOS,5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,11751.27,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250620_EozFu,1168.92,0.11,13.13
6336c08284d3dbb5c1b2fb22,Gossip Harbor: Merge & Story,58adf6988e52ab4d320004d1,Microfun,1474.65,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_Lngjc,8215.8,0.79,11.58
5a9059cad21df82a03002ca1,Cookie Jam Match 3 Android,58910f6a5f5e338431000675,Jamcity INC.,1371.9,5f6413c9612b1a0015099993_893572,8800.33,0.84,11.54
62684160e2a0ef078b8fc737,Toy Blast,56c3a378adccd1cb7e00000a,Zynga,1260.46,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_PaaiY,8199.41,0.78,9.88
6336c08284d3dbb5c1b2fb22,Gossip Harbor: Merge & Story,58adf6988e52ab4d320004d1,Microfun,1474.65,67055dc40f05bd0011e279ae_Video_cat3__pkg__bat_0_mat_0_20250619_ASzpF,6951.66,0.66,9.8
6837c96a71e5cc220d1c9a48,Samsung News,677bd16443e94a0011b752b2,Samsung Electronics,3958.85,5f6413c9612b1a0015099993_1451898,2106.81,0.2,7.97
6837c96a71e5cc220d1c9a48,Samsung News,677bd16443e94a0011b752b2,Samsung Electronics,3958.85,5f6413c9612b1a0015099993_1369975,1680.28,0.16,6.36
5a9059cad21df82a03002ca1,Cookie Jam Match 3 Android,58910f6a5f5e338431000675,Jamcity INC.,1371.9,5f6413c9612b1a0015099993_434137,4484.02,0.43,5.88
6837c96a71e5cc220d1c9a48,Samsung News,677bd16443e94a0011b752b2,Samsung Electronics,3958.85,5f6413c9612b1a0015099993_1331825,1248.67,0.12,4.72
6837c96a71e5cc220d1c9a48,Samsung News,677bd16443e94a0011b752b2,Samsung Electronics,3958.85,5f6413c9612b1a0015099993_545150,1108.91,0.11,4.2
5a905921d21df82a03002a6b,Cookie Jam Match 3,58910f6a5f5e338431000675,Jamcity INC.,1725.72,5f6413c9612b1a0015099993_639942,2448.54,0.23,4.04
5a9059cad21df82a03002ca1,Cookie Jam Match 3 Android,58910f6a5f5e338431000675,Jamcity INC.,1371.9,5f6413c9612b1a0015099993_639942,2448.54,0.23,3.21
5a905921d21df82a03002a6b,Cookie Jam Match 3,58910f6a5f5e338431000675,Jamcity INC.,1725.72,5f6413c9612b1a0015099993_909629,1541.1,0.15,2.54
5a9059cad21df82a03002ca1,Cookie Jam Match 3 Android,58910f6a5f5e338431000675,Jamcity INC.,1371.9,5f6413c9612b1a0015099993_909629,1541.1,0.15,2.02
5a905921d21df82a03002a6b,Cookie Jam Match 3,58910f6a5f5e338431000675,Jamcity INC.,1725.72,5f6413c9612b1a0015099993_1051152,1013.15,0.1,1.67
6837cbfb71e5cc220d1c9a6b,Gaming Hub,677bd16443e94a0011b752b2,Samsung Electronics,1530.45,5f6413c9612b1a0015099993_545150,1108.91,0.11,1.62
