Publisher App ID,Publisher App Name,Market ID
650363ddd38855ef54aae568,OfferUp iOS,468996152
684fe5259f7ebc7d027585c8,IOS | Flashscore: Live Scores & News,766443283
592fc29cc10833a4760012c6,Sudoku - Classic Sudoku Puzzle Game,1193508329
653a33af7b1a3c2b6f2b138a,Vita Mahjong,6468921495
67b5f7021be9345ad181a7d8,Sofascore IOS,1176147574
5dfae2bf66091a78d58169d1,Words With Friends 3 Word Game,1196764367
68887aeb5f7b35e31f06647a,Word Solitaire: Associations IOS,6748950306
5c9c7a04d13ede0012e22ff2,Blockudoku IOS,1452227871
66b372f5e33c9a548741ff37,Crossword Master IOS,6547858927
5fdfae0fc5d4c9ab8efa6701,Number Match IOS,1545567989
5e6868c8ffd487601beebc7a,WWF1 - iOS,321916506
6268445fe544d565a3f73230,Toon Blast,1176027022
6642cf9be0cbed6459a1b767,Tile Trip iOS,6498883328
68f9f643adc1b994d6b7c171,Livescore,356928178
641bbdc51e0260737618e232,ZenWord iOS,1660171117
69613d6aa37bf42bb072233f,Brick Blast iOS,6756913359
5e84a5d1ce415a000187164f,Sudoku Killer iOS,1505735640
5ef316979c3a0300015b0a03,Art Puzzle - iOS,1519174001
685f0edd6d5c129491a495a9,Weather - The Weather Channel,295646461
5d778a8a04e89100182b2aaa,Sudoku,1442749804
5ff67536418070451b70740d,Boggle With Friends: Word Game,1197041040
63974e72c5c2a3f1faf76b37,Backgammon iOS,6443484197
69154b0b1de7be35146a52bd,Jigsawcard iOS,6754900673
5130b34aff10712a34000051,4 Pics 1 Word iOS,595558452
67c060d3b5a7d2bd8485ce41,Queens Master iOS,6741799909
66ed44a4f909844620b79258,Connect Word iOS,6692629257
594b076f74ab6c6835001467,Solitaire,593715088
66db113537f8220673f9e833,Easy Words IOS,6612024746
632cc919d3a73abffd99e8af,Candy Crush Jelly Saga_iOS,1047246341
64de05bdabb23eee2a179c21,Number Sums IOS,6449427809
6482e37be6783160ceb11570,VitaSolitaire iOS,6446669987
5c9c7a4ca4ab3200182c5b48,Difference IOS,1445691600
5ed7a4a424d95f000191aeeb,Nonogram Multicolor iOS,1516617231
64ef106a4ca99f72ba7c5e9c,Picture Builder iOS,6463711142
66a33311e33c9a548741b0b4,My Superstore Simulator,6511238101
673c9621f4ded7f554b486cd,Hidden Spots IOS,6736755876
5f47c0e4d5fb94000180eeb0,Teacher Simulator,1523627747
62a0dc588e56934e78819436,TextNow Android,com.enflick.android.TextNow
62ebc6936a5160fa248e4f75,Wizard of Oz Match 3 (WozMM),1073286211
6855732c53ef1303f912b258,Number Tiles IOS,6746838116
6503642f5551fd9849db7a23,OfferUp Android,com.offerup
64edbd0b4ca99f72ba7c5ca5,Vita Jigsaw iOS,6451403685
525755cadbcd54f470000007,Bloons TD Battles - Medallions iOS,624533261
5d5d836f9cdd320012eca7b3,textPlus iOS,314487667
68a87109bf529294e179e912,Golfshot: Golf GPS + Watch,622851626
6262b25b01290d797e8040b5,Solitaire Spider IOS,1619320898
659e1333a5c8c578aac410f0,Vita Mahjong Android,com.vitastudio.mahjong
64a50c1d831ce850a7064346,Vita Spider iOS,6449570140
