rtb_connection_id,rtb_connection_name,rtb_account_id,rtb_account_name,total_spend_7d,daily_spend
5f6415539290720015d69d84,RTB - Liftoff US - Video,5f6413c9612b1a0015099993,Exchange - RTB - Liftoff,6801441.952843598,971634.56
64f1298ce61809722e836fa8,RTB - Liftoff US - Video (Android and Kochava),5f6413c9612b1a0015099993,Exchange - RTB - Liftoff,4841146.644243257,691592.38
5f6415d4fd2311001528e9ef,RTB - Liftoff - Banner,5f6413c9612b1a0015099993,Exchange - RTB - Liftoff,1004293.2098806371,143470.46
674d58062be0a4da17375426,RTB - Temu Hybrid US,67055dc40f05bd0011e279ae,Exchange - RTB - Temu,948614.2401055238,135516.32
6279c195e1e538a5d1e64090,RTB - Liftoff Native,5f6413c9612b1a0015099993,Exchange - RTB - Liftoff,791807.7579391138,113115.39
673598849d6a7bcf892e103c,RTB - Temu Hybrid Glo,67055dc40f05bd0011e279ae,Exchange - RTB - Temu,784882.2432842946,112126.03
618a2a7eacd257d58a04fb44,RTB - Bidease Video,618a29d9ef3f360017e9acca,Exchange - RTB - Bidease,692663.6455293078,98951.95
6780bd430510f6af103e8a71,RTB - Temu Hybrid US iOS,67055dc40f05bd0011e279ae,Exchange - RTB - Temu,654216.2118375902,93459.46
6488abee95097b18bf6f12b6,RTB - Moloco Video US EP (iOS Click Settings),5bc0e10e25c7d7796ebe8fc0,Exchange - RTB - Moloco,608966.3508880029,86995.19
5fbc0775e217bf001607c514,RTB - Personaly Video,5fbc06efdcdfdb0015dda411,Exchange - RTB - Personaly,434969.4153599002,62138.49
67690a997f53d01c71ab4768,RTB - Temu Hybrid EU,67055dc40f05bd0011e279ae,Exchange - RTB - Temu,423738.43806803285,60534.06
696a8b40850b5555fd0cb734,Albatross Americas - Fullscreen Display EP Test,66e46b7a0f05bd0011e180e6,Exchange - RTB - Albatross,411269.55520901625,58752.79
62c25c35fde7e51b65a10256,RTB - Mintegral US Video AD TEST,60bdc983a982ad0017edb6f7,Exchange - RTB - Mintegral,395255.0336210868,56465.0
65b7e6e970cf2071ef5f7404,RTB - Kwai Video,65b7e5c3d5f847001169024b,Exchange - RTB - Kwai,390620.6349951465,55802.95
64a5e5d6272809611bca93b7,RTB - Moloco Video US EP (Android Click Settings),5bc0e10e25c7d7796ebe8fc0,Exchange - RTB - Moloco,339019.07456199935,48431.3
685a21266d0d8332fec4ca4a,RTB - ByteDance Global (Main) - new,5caf77f1e04ca66a2d4bcd7c,Exchange - RTB - ByteDance,337526.68641008955,48218.1
679322307f3abac79b0c54d4,RTB - Temu Hybrid EU iOS,67055dc40f05bd0011e279ae,Exchange - RTB - Temu,313799.62535072817,44828.52
610114023b0d9d6e3e3d8c8c,RTB - Mintegral hardcore video,60bdc983a982ad0017edb6f7,Exchange - RTB - Mintegral,254378.11132868822,36339.73
60c06e573c721d0016a2184e,RTB - Mintegral  Video NO US,60bdc983a982ad0017edb6f7,Exchange - RTB - Mintegral,252104.02711056345,36014.86
607717d4b6c2cb001602a37b,RTB - Smadex Video,60770b778d0e4a0015f20ea9,Exchange - RTB - Smadex,245210.37225778034,35030.05
60c06de4baf1a10016f0a466,RTB - Mintegral  Video,60bdc983a982ad0017edb6f7,Exchange - RTB - Mintegral,243407.15681389044,34772.45
6447f2b719cf692424a1aa34,RTB - Moloco Video EU EP (iOS Click Settings),5bc0e10e25c7d7796ebe8fc0,Exchange - RTB - Moloco,238281.634446,34040.23
64f7be44642a5689719e0fed,RTB - Bidease Video 3P Tester,618a29d9ef3f360017e9acca,Exchange - RTB - Bidease,232946.5023850187,33278.07
5fffe814b914c60016220ff2,RTB - Opera USA Video,5fffe796e4fa2100156e364a,Exchange - RTB - Opera,218339.68910038297,31191.38
5bc0e200eb95ad0016cfb668,RTB - Moloco Video EU EP (Android Click Settings),5bc0e10e25c7d7796ebe8fc0,Exchange - RTB - Moloco,202803.39873900003,28971.91
