account_id,account_name,ios_app_id,ios_app_name,ios_market_id,ios_daily_spend,android_app_id,android_app_name,android_market_id,android_daily_spend,match_score,match_method
5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,653a33af7b1a3c2b6f2b138a,Vita Mahjong,6468921495,41458.05,659e1333a5c8c578aac410f0,Vita Mahjong Android,com.vitastudio.mahjong,67609.77,1.0,exact_normalized
650360eb0950ee00114dc484,OfferUp,650363ddd38855ef54aae568,OfferUp iOS,468996152,34815.12,6503642f5551fd9849db7a23,OfferUp Android,com.offerup,5533.17,1.0,exact_normalized
561e8d936b8d90f61a000455,Mobility Ware,5346f0f55cd3b9056a000074,iOS Solitaire,359917414,30938.5,5346f0237963ec4e6a0000c6,Android Solitaire,com.mobilityware.solitaire,11353.89,1.0,exact_normalized
5b2aad55ec47af23be0124fc,Grindr,5b2abc08c4867b46785c2206,Grindr - iOS,319881193,20175.82,5b2abc52c4867b46785c2450,Grindr - Android,com.grindrapp.android,11427.57,1.0,exact_normalized
69379d46192ce0aadaecc874,Particle Media Inc,69437e3201d2a42bf6087b94,NewsBreak: Local News & Alerts,1132762804,19125.18,69437e6fed3b627e3079edb8,NewsBreak: Local News & Alerts,com.particlenews.newsbreak,26087.93,1.0,exact_normalized
68799f38babc2000110fe539,Duolingo,687fc946b7d9308ece480379,Duolingo,570060128,18174.59,687fc975b7d9308ece480382,Duolingo,com.duolingo,25071.4,1.0,exact_normalized
561e8d976b8d90f61a0045d7,"PeopleFun, Inc.",58ebd9a452140fe55600117e,Wordscapes,1207472156,16918.88,58ed4805d573baf555001be0,Wordscapes GP,com.peoplefun.wordcross,2847.2,1.0,exact_normalized
67b5bff30471850011443643,HURELAX PTE LTD,685b5c3275c4436861cc7bec,Mahjong - Royal Tiles IOS,6747492600,15845.52,685b5cb975c4436861cc7c72,Mahjong - Royal Tiles GP,com.nebula.mahjongtile,32929.28,1.0,exact_normalized
59baf611f2287a750a0034c2,CrazyMaple Studio,63d77e2191f962a0f3ba0fbc,Reelshort-iOS,1636235979,15669.26,63d77f6407dd8c480b4ebaa1,Reelshort-Android,com.newleaf.app.android.victor,26759.08,1.0,exact_normalized
670cfa366f113e00119a799f,Vinted,6716548809f72ec0f50798ed,Vinted IOS,632064380,15063.14,671654af58450cca797bb25d,Vinted Android,fr.vinted,3871.92,1.0,exact_normalized
66f36da16f113e0011999ff8,Meitu China,66f38672cde9700bb6f022ba,美圖秀秀,416048305,14981.75,66f3bbcb625d91c8b3694d8f,美圖秀秀,com.mt.mtxx.mtxx,2505.21,1.0,exact_normalized
6862932aaff9d800114174ac,Flightradar24 AB,686295a9394e0109dd4a2580,Flightradar24 | Flight Tracker,382233851,14627.27,686299fc79819ef02142b9ce,Flightradar24 Flight Tracker,com.flightradar24free,5839.12,1.0,exact_normalized
622a3f10c690c40013e4728e,TextNow,62a0dc1c93d8b90a44a85847,TextNow iOS,314716233,14516.98,62a0dc588e56934e78819436,TextNow Android,com.enflick.android.TextNow,16619.83,1.0,exact_normalized
67d0848db62d6b0011ccb35e,SmartNews,67d272dadc73e19db732c198,SmartNews iOS,579581125,13699.37,67d272b5dc73e19db732c193,SmartNews,jp.gocro.smartnews.android,5601.6,1.0,exact_normalized
629f58df585252001b83d5f1,Super Unlimited Inc.,62d5275500cb8a913fd2b4dd,VPN - Super Unlimited Proxy,1370293473,13698.25,62ce7ef68cd2f0b72c87b683,VPN - Super Unlimited Proxy,com.free.vpn.super.hotspot.open,3242.06,1.0,exact_normalized
56d55c72562b9c353800000d,Voodoo,5b83e2f3ebcb4a0f62d80e85,Paper.io 2,1423046460,13532.7,5b99403f45e58040ccdd7177,Paper.io 2,io.voodoo.paper2,4257.21,1.0,exact_normalized
668545a239a54a0011299e6e,Automattic,66857e436204497f762a9aad,Tumblr,305343404,13139.01,66857e0a4d981e89bb8afda7,Tumblr,com.tumblr,2572.45,1.0,exact_normalized
5c05196699e4374b87bda3b9,Tripledot Studios,5efb5d6c93032a0001e65bce,Woodoku,1496354836,12727.85,5f3fcad2f503650001352dfc,Woodoku,com.tripledot.woodoku,14728.28,1.0,exact_normalized
68ed0a0c4cac2a9dc3250a10,Loom Games Oyun Yazilim ve Pazarlam,68ee72e79797ab8c2943d2d9,Pixel Flow!,6751056652,12544.14,68ee73f89797ab8c2943d33e,Pixel Flow!,com.loomgames.pixelflow,4628.91,1.0,exact_normalized
6021599b8b3e5600159fcc76,HITAPPS GAMES LTD,68887aeb5f7b35e31f06647a,Word Solitaire: Associations IOS,6748950306,12420.12,68887b364afcdbfb426b9180,Word Solitaire: Associations Android,com.hitappsgames.wordsolitaire,3956.78,1.0,exact_normalized
5b975fcedc73276356309362,OAKEVER GAMES PTE LTD,6642cf9be0cbed6459a1b767,Tile Trip iOS,6498883328,11285.95,6642cedde0cbed6459a1b75e,Tile Trip Android,com.oakever.tiletrip,19636.36,1.0,exact_normalized
65f02b00af81650011344521,Scatterlab,65fbcd09d68917830d40a9d5,zeta iOS,1619030760,10819.03,65fbcc68f5d8b25533af06f8,zeta Android,com.scatterlab.messenger,4270.89,1.0,exact_normalized
6698b45b60e2ea00114aa807,Poly.AI Android,66a0d468e33c9a548741a772,Poly.AI iOS,6449190344,10751.87,6698be43198409320ce72a78,Poly.AI Android,ai.socialapps.speakmaster,1717.69,1.0,exact_normalized
6920858f3fcd392133e22a59,Rakuten Viber,6971dc22d4ba143db9061eec,Rakuten Viber,382617920,10137.98,6971eef873c0a231fff7afde,Rakuten Viber,com.viber.voip,4218.65,1.0,exact_normalized
6247027c20721a0018bb6528,First Touch Games,62f26e8e348007e331ea2907,Dream League Soccer,1462911602,9991.82,62f26eace36b0fcf8cd64d02,Dream League Soccer,com.firsttouchgames.dls7,15996.2,1.0,exact_normalized
